PT,disambiguate,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,PM
J,NA,"Ishio, Yoshito; Dougherty, Kevin D.; Niki, Izumi",NA,NA,NA,NA,NA,NA,NA,American Flags in Religious Congregations in the United States,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF CHURCH AND STATE,NA,NA,NA,61,3,NA,NA,431,450,NA,10.1093/jcs/csy080,NA,NA,SUM 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000492873700004,NA
J,NA,"Chan, Eugene Y.",NA,NA,NA,NA,NA,NA,NA,The politics of intent: Political ideology influences organ donation intentions,NA,NA,NA,NA,NA,NA,NA,PERSONALITY AND INDIVIDUAL DIFFERENCES,NA,NA,NA,142,NA,NA,NA,255,259,NA,10.1016/j.paid.2018.12.022,NA,NA,MAY 1 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000463125300038,NA
J,NA,"Chan, Eugene Y.",NA,NA,NA,NA,NA,NA,NA,"Exposure to national flags reduces tax evasion: Evidence from the United States, Australia, and Britain",NA,NA,NA,NA,NA,NA,NA,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,NA,49,2,NA,NA,300,312,NA,10.1002/ejsp.2388,NA,NA,19-Mar,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000459636500006,NA
J,NA,"Kardos, Peter; Unoka, Zsolt; Pleh, Csaba; Soltesz, Peter",NA,NA,NA,NA,NA,NA,NA,Your mobile phone indeed means your social network: Priming mobile phone activates relationship related concepts,NA,NA,NA,NA,NA,NA,NA,COMPUTERS IN HUMAN BEHAVIOR,NA,NA,NA,88,NA,NA,NA,84,88,NA,10.1016/j.chb.2018.06.027,NA,NA,18-Nov,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,WOS:000443665400010,NA
J,NA,"Cheng, Yongtian; Li, Johnson Ching-Hong; Liu, Xiyao",NA,NA,NA,NA,NA,NA,NA,Limited Usefulness of Capture Procedure and Capture Percentage for Evaluating Reproducibility in Psychological Science,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,9,NA,NA,NA,NA,NA,1657,10.3389/fpsyg.2018.01657,NA,NA,SEP 11 2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000444352400001,NA
J,NA,"DeJesus, Jasmine M.; Hwang, Hyesung G.; Dautel, Jocelyn B.; Kinzler, Katherine D.",NA,NA,NA,NA,NA,NA,NA,"American=English Speaker Before ""American=White"": The Development of Children's Reasoning About Nationality",NA,NA,NA,NA,NA,NA,NA,CHILD DEVELOPMENT,NA,NA,NA,89,5,NA,NA,1752,1767,NA,10.1111/cdev.12845,NA,NA,SEP-OCT 2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,WOS:000443935700023,NA
J,NA,"Chopik, William J.; Bremner, Ryan H.; Defever, Andrew M.; Keller, Victor N.",NA,NA,NA,NA,NA,NA,NA,How (and Whether) to Teach Undergraduates About the Replication Crisis in Psychological Science,NA,NA,NA,NA,NA,NA,NA,TEACHING OF PSYCHOLOGY,NA,NA,NA,45,2,NA,NA,158,163,NA,10.1177/0098628318762900,NA,NA,18-Apr,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,WOS:000429950000007,NA
J,NA,"Pedrini, Pier Paolo","Pedrini, PP",NA,NA,NA,NA,NA,NA,Unity is strength,NA,NA,NA,NA,NA,NA,NA,Routledge Studies in Modern European History,NA,NA,NA,NA,NA,NA,NA,67,82,NA,NA,NA,NA,2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000458911500010,NA
J,a,"Calfano, B.","Calfano, B",NA,NA,NA,NA,NA,NA,"Muslims, Identity, and American Politics",NA,NA,NA,NA,NA,NA,NA,"MUSLIMS, IDENTITY, AND AMERICAN POLITICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,WOS:000475484400009,NA
J,NA,"Chan, Eugene Y.",NA,NA,NA,NA,NA,NA,NA,Exposure to the American flag polarizes democratic-republican ideologies,NA,NA,NA,NA,NA,NA,NA,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,NA,56,4,NA,NA,809,818,NA,10.1111/bjso.12197,NA,NA,17-Dec,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,WOS:000416841700011,NA
