firstCoder,secondCoder,doi,authors,pubYear,excluded,exclusionReason,articleType,citesReplication,citationClassificationOriginal,citationClassificationAgreed,counterArguments,evidenceCounter,evidenceVerbatim,methodsCounter,methodsVerbatim,expertiseCounter,expertiseVerbatim,UT
RT,OA,10.1037/xge0000570,"Lodder, Paul; Ong, How Hwee; Grasman, Raoul P. P. P.; Wicherts, Jelte M.",2019,FALSE,"NA",Data synthesis - meta-analysis,TRUE,equivocal,equivocal,FALSE,NA,NA,NA,NA,NA,NA,WOS:000464112900007
RT,OA,10.3390/ijerph16020238,"Prescott, Susan L.; Logan, Alan C.; Katz, David L.",2019,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000459112100073
RT,OA,10.1177/1948550617740941,"Crawford, Jarret T.; Fournier, Allison; Ruscio, John",2019,FALSE,"NA",Empirical data - laboratory study,TRUE,unfavourable,unfavourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000454140700011
RT,OA,10.1016/j.jesp.2018.09.004,"Gasiorowska, Agata; Zaleskiewicz, Tomasz; Kesebir, Pelin",2018,FALSE,"NA",Empirical data - laboratory study,FALSE,unclassifiable,unclassifiable,NA,NA,NA,NA,NA,NA,NA,WOS:000448093100035
RT,OA,10.3389/fpsyg.2018.01657,"Cheng, Yongtian; Li, Johnson Ching-Hong; Liu, Xiyao",2018,FALSE,"NA",No empirical data,TRUE,equivocal,equivocal,TRUE,NA,NA,TRUE,"For example, in replication studies of Currency Priming (Caruso et al., 2013) and Flag Priming (Carter et al., 2011; Study 2) in the Many Labs project (Klein et al., 2014) researchers have found that most of the mean or median ESs of there replication studies are at or even below the lower bound of the 95% ESCIs in the original studies. These results are highly incompatible with the current model of common practice in which original studies and replication studies always share an identical distribution prior to data collection. To better interpret these results, researchers should conduct more research in order to find out whether this pattern of result is due to the criterion (i.e., CPro and CPer) they used for evaluating reproducibility, or whether there is a real replication crisis in these replication studies.",NA,NA,WOS:000444352400001
RT,OA,10.1002/pchj.213,"Zhou, Xinyue; Yang, Qian; Hu, Xiaomeng",2018,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000436253400006
RT,OA,10.1007/s10869-017-9497-6,"Mok, Aurelia; De Cremer, David",2018,FALSE,"NA",Empirical data - survey,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000431309500005
RT,OA,10.1016/j.ecolecon.2018.01.015,"Farley, Joshua; Washington, Haydn",2018,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000428008000039
RT,OA,10.1016/j.ecolecon.2017.12.014,"Beer, David Loew",2018,FALSE,"NA",Empirical data - survey,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000425202700041
RT,OA,10.3389/fpsyg.2018.00042,"Li, Jin; Zhan, Youlong; Fan, Wei; Liu, Lei; Li, Mei; Sun, Yu; Zhong, Yiping",2018,FALSE,"NA",Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000424250000001
RT,OA,10.1016/j.copsyc.2017.08.021,"Bullock, Heather E.",2017,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000419528000027
RT,OA,10.1016/j.ecolecon.2017.05.027,"Goff, Sandra H.; Waring, Timothy M.; Noblet, Caroline L.",2017,FALSE,"NA",Empirical data - survey,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000410013200012
