firstCoder,secondCoder,doi,authors,pubYear,excluded,exclusionReason,articleType,citesReplication,citationClassificationOriginal,citationClassificationAgreed,counterArguments,evidenceCounter,evidenceVerbatim,methodsCounter,methodsVerbatim,expertiseCounter,expertiseVerbatim,UT
TH,DS,10.1177/1088868318762183,"Friese, M; Loschelder, DD; Gieseler, K; Frankenbach, J; Inzlicht, M",2019,FALSE,"NA",No empirical data,TRUE,unfavourable,unfavourable,TRUE,NA,NA,TRUE,"1) With respect to the RRR (Hagger et al., 2016), criticsargue that the study protocol did not use prototypical operationalizationsof central variables. Specifically, the egodepletion manipulation (a variant of the widely used e-crossingtask; Baumeister et al., 1998) lacked a habit-creating firstphase that may be important to increase self-control demandsin a second phase (Baumeister & Vohs, 2016a). Indeed, thee-crossing task without habit-creating phase has been rarelyused in previous research, although paper–pencil variantshave produced expected depletion effects on self-controlperformance in a few studies (Tyler & Burns, 2009; Wan &Sternthal, 2008). Another potentially important deviationfrom previous research was that the e-crossing task was computerized,although most applications of this manipulationhave relied on the paper–pencil version. That said, recentevidence suggests that the e-crossing task can indeed lead todecrements in performance over time (within the same task),even without a prior habit-formation phase and even if thetask is computer administered, at least in variants somewhatlonger than the one used in the RRR (Arber et al., 2017).",NA,NA,WOS:000463615200001
TH,DS,10.1371/journal.pone.0213026,"Radel, R; Gruet, M; Barzykowski, K",2019,FALSE,"NA",Empirical data - laboratory study,TRUE,equivocal,unfavourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000460638800033
TH,DS,10.1080/01973533.2018.1530671,"Singh, RK; Goritz, AS",2019,FALSE,"NA",Empirical data - laboratory study,TRUE,equivocal,equivocal,TRUE,NA,NA,TRUE,"With regard to the failed replicationeffort, from using another e-crossing task adaptionour two single studies cannot be compared to the severalstudies conducted within the replication effort (Hagger et al., 2016). However, we feel that our findingsoffer a perspective of why the replication mayhave failed provided that ego depletion exists.       This suggests that discarding ego depletion as aconcept may be premature. Yet this does not change thefact that in ego depletion literature and research, thereare theoretical and methodological gray areas. Forexample, one such area pertains to which exact processesego depletion affects and which it does not affect.We have argued that acting against established behavioralpatterns is a demand that probably fosters egodepletion. Indeed, the studies of the replication effort(Hagger et al., 2016) found no effect when their taskneglected this potential cause of ego depletion.",NA,NA,WOS:000461576700001
TH,DS,10.1037/npe0000082,"Balafoutas, L; Kerschbamer, R; Oexl, R",2018,FALSE,"NA",Empirical data - laboratory study,TRUE,unfavourable,unfavourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000442587700003
TH,DS,10.1098/rsos.180390,"Vadillo, MA; Gold, N; Osman, M",2018,FALSE,"NA",Empirical data - commentary including analysis,TRUE,unfavourable,unfavourable,TRUE,NA,NA,TRUE,"Commenting on this outcome, Baumeister & Vohs [11] argued that the RRR relied on a poorly chosen depleting task. Hagger et al. [10] presented participants with a series of words on a computer screen and asked them to press a button if they saw an ‘e’ unless the ‘e’ was next to or one letter away from another vowel. In the no depletion condition, a key was pressed whenever an ‘e’ was present. Baumeister & Vohs pointed out that in order to induce ego depletion, there would usually be a prior stage, carried out by all participants, which would establish a habitual, dominant response, so that the depletion condition would involve overcoming a prior impulse. Thus, it is unlikely that Hagger et al.'s depletion task would reduce performance on a second self-control task because participants were not all given a preliminary habit-forming task of pressing a computer key whenever they saw an ‘e’, which they would have to overcome in the depletion condition. In support of this interpretation, an independent reanalysis of the RRR data conducted by Dang [12] found that the ego depletion effect was in fact significant within a subset of participants who stated that they had invested more effort on the e-crossing task. However, it is not totally clear whether this feature of the study can account for failing to observe ego depletion in the RRR, given that other studies (including the seminal study on which the RRR was based [13]) have reported positive results without using a preliminary habit-forming period (see also [14]).",NA,NA,WOS:000443443000053
TH,DS,10.1371/journal.pone.0199554,"Wolff, W; Baumann, L; Englert, C",2018,FALSE,"NA",Empirical data - laboratory study,TRUE,equivocal,equivocal,TRUE,NA,NA,TRUE,"According to the strength model [1], participants from the depletion conditionshould have performed significantly worse in this secondary task compared to participantsfrom the control condition. However, the RRR failed to find a significant ego depletion effect.Hagger et al. [14] stress that the results do not imply that the ego depletion effect does notexist, but that it is highly necessary to identify the potential causes for these null-findings.",NA,NA,WOS:000436088700023
TH,DS,10.1007/s11572-017-9423-z,"Koi, P; Uusitalo, S; Tuominen, J",2018,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000442987000002
TH,DS,10.1016/j.socec.2018.04.009,"Achtziger, A; Alos-Ferrer, C; Wagner, AK",2018,FALSE,"NA",Empirical data - laboratory study,TRUE,unfavourable,unfavourable,TRUE,NA,NA,TRUE,"This presence or absence of a habit-forming component in the letter-crossing task, however, has been the cause of recent debate, with Baumeister and Vohs (2016) listing the lack of a habit-forming stage in the Hagger and Chatzisarantis (2016) multi-lab replication study as a reason to dismiss the null findings. Baumeister and Vohs comment that the replications study’s version of the letter-crossing task, which also did not start with a habit forming stage prior to the instigation of a new set of rules, was an essential methodological flaw that invalidated the non-effects on the outcome measure. “Without first instilling the habit, there is nothing to override. This may be a difficult cognitive judgment task, but no impulse is overridden, contrary to the nature of self-control tasks” (Baumeister and Vohs, 2016, p. 574). Although there have been theoretical justifications for the requirement of behavioral inhibition within the letter-crossing task (e.g., Baumeister and Vohs, 2016), there has yet to be independent empirical evidence to give credence to such justifications.",NA,NA,WOS:000432773100018
TH,DS,10.3389/fpsyg.2018.00711,"Myers, L; Downie, S; Taylor, G; Marrington, J; Tehan, G; Ireland, MJ",2018,FALSE,"NA",Empirical data - laboratory study,TRUE,equivocal,equivocal,FALSE,NA,NA,NA,NA,NA,NA,WOS:000432576700002
TH,DS,10.1017/S0140525X17001972,"Zwaan, RA; Etz, A; Lucas, RE; Donnellan, MB",2018,FALSE,"NA",No empirical data,TRUE,unfavourable,unfavourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000458790700035
TH,DS,10.1146/annurev-psych-122216-011845,"Shrout, Patrick E.; Rodgers, Joseph L.",2018,FALSE,"NA",No empirical data,TRUE,equivocal,equivocal,FALSE,NA,NA,NA,NA,NA,NA,WOS:000424143700021
TH,DS,10.1037/pspi0000099,"Savani, Krishna; Job, Veronika",2017,FALSE,"NA",Empirical data - laboratory study,TRUE,equivocal,equivocal,FALSE,NA,NA,NA,NA,NA,NA,WOS:000412445100005
TH,DS,10.1371/journal.pone.0174331,"Emmerling, Franziska; Martijn, Carolien; Alberts, Hugo J. E. M.; Thomson, Alix C.; David, Bastian; Kessler, Daniel; Schuhmann, Teresa; Sack, Alexander T.",2017,FALSE,"NA",Empirical data - laboratory study,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000399175000013
TH,DS,10.3389/fpsyg.2017.00273,"Drummond, Aaron; Philipp, Michael C.",2017,FALSE,"NA",No empirical data,TRUE,unclassifiable,unclassifiable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000394804500001
TH,DS,10.1037/npe0000047,"Alos-Ferrer, C; Hugelschafer, S; Li, JH",2015,FALSE,"NA",Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000365705900001
TH,DS,10.1111/spc3.12200,"Inzlicht, M; Berkman, E",2015,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000214703800001
