firstCoder,secondCoder,doi,authors,pubYear,excluded,exclusionReason,articleType,citesReplication,citationClassificationOriginal,citationClassificationAgreed,counterArguments,evidenceCounter,evidenceVerbatim,methodsCounter,methodsVerbatim,expertiseCounter,expertiseVerbatim,UT
RT,TH,10.1016/j.actpsy.2018.11.001,"Lemonnier, Aurore; Alexopoulos, Theodore",2019,FALSE,"NA",Empirical data - laboratory study,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000456759100010
RT,TH,10.3389/fpsyg.2018.02393,"Malkowski, Marcin; Clowes, Robert; Rucinska, Zuzanna; Przegalinska, Aleksandra; Zawidzki, Tadeusz; Krueger, Joel; Gies, Adam; McGann, Marek; Afeltowicz, Lukasz; Wachowski, Witold; Stjernberg, Fredrik; Loughlin, Victor; Hohol, Mateusz",2018,FALSE,"NA",No empirical data,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000452296600001
RT,TH,10.3389/fpsyg.2018.02089,"Rosseland, Ragna; Pallesen, Stale; Nordhus, Inger Hilde; Matre, Dagfinn; Blagestad, Tone",2018,FALSE,"NA",Empirical data - laboratory study,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000448900000001
RT,TH,10.3758/s13423-017-1361-1,"Sidhu, David M.; Pexman, Penny M.",2018,FALSE,"NA",No empirical data,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000446540900004
SC,TH,10.1177/0016986218784178,"McBee, Matthew T.; Makel, Matthew C.; Peters, Scott J.; Matthews, Michael S.",2018,FALSE,"NA",No empirical data,TRUE,unfavourable,unfavourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000444404500003
SC,TH,10.1371/journal.pone.0197651,"Niedenthal, Paula M.; Rychlowska, Magdalena; Wood, Adrienne; Zhao, Fangyun",2018,FALSE,"NA",Empirical data - survey,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000440415500007
SC,MN,10.1037/fam0000345,"Vrijhof, Claudia I.; van der Voort, Anja; van IJzendoorn, Marinus H.; Euser, Saskia",2018,FALSE,"NA",Empirical data - field study,TRUE,unclassifiable,unclassifiable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000427608700007
SC,MN,10.1080/17470218.2016.1261913,"Berndt, Eduard; Dudschig, Carolin; Kaup, Barbara",2018,FALSE,"NA",Empirical data - laboratory study,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000423317700013
SC,MN,10.1080/09658211.2018.1470645,"Wildschut, Tim; Sedikides, Constantine; Robertson, Sara",2018,FALSE,"NA",Empirical data - laboratory study,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000435699500002
SC,MN,10.1080/02699931.2018.1418197,"Rothermund, Klaus; Koole, Sander L.",2018,FALSE,"NA",No empirical data,TRUE,unfavourable,unfavourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000424988300001
SC,MN,10.1016/j.yhbeh.2016.11.003,"Smith, Kristopher M.; Apicella, Coren L.",2017,FALSE,"NA",Empirical data - laboratory study,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000404318100019
SC,MN,10.3758/s13415-017-0503-2,"Davis, Joshua D.; Winkielman, Piotr; Coulson, Seana",2017,FALSE,"NA",Empirical data - laboratory study,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000400051100013
SC,MN,10.3389/fpsyg.2017.00394,"Baumeister, Jenny C.; Foroni, Francesco; Conrad, Markus; Rumiati, Raffaella I.; Winkielman, Piotr",2017,FALSE,"NA",Empirical data - laboratory study,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000397317300001
MN,TH,10.1080/01973533.2019.1577736,"Stroebe, Wolfgang",2019,FALSE,"NA",No empirical data,TRUE,favourable,favourable,TRUE,NA,NA,TRUE,"1: ""Given that multiple successful conceptual replications of the Pen-Study had already been published,7 it came as a surprise that the 17 laboratories from eight countries failed to find an effect of the pen manipulation on ratings of the funniness of cartoons (Wagenmakers et al., 2016). However, on closer reading of the publication, the reason for this failure became apparent (Strack, 2016; Stroebe, 2016b). In their pursuit of “true effects,” Wagenmakers and colleagues had decided to videotape participants during the experiment to make sure that they followed instructions. This would have been no problem had they used hidden cameras. But participants were told that they would be videotaped and had the camera in full sight. As Strack (2016) pointed out in his reflections on the Wagenmakers et al. (2016) study, this might have been responsible for the failure of the pen manipulation having an effect. As Strack (2016) pointed out in his reflections on the Wagenmakers et al. (2016) study, this might have been responsible for the failure of the pen manipulation having an effect."" 
  2: ""Whereas the condition without a camera replicated the original effect of Strack et al. (1988), the insertion of a camera eliminated the effect and thus replicated the null-finding of Wagenmakers et al. (2016)."" 3: ""For example, Wagenmakers et al. (2016) used cartoons as dependent measure that had been pretested with Dutch students from the University of Amsterdam. It is hardly likely that students in other countries, who participated in this study, had the same sense of humor as these Dutch students."" 4: ""Another example of a failed replication—the attempt by Wagenmakers et al. (2016) to replicate the so-called Pen-Study of Strack, Martin, and Stepper (1988)—illustrates that exact replications can become inexact when experimenters try to improve on the original procedure.""",NA,NA,WOS:000463801200001
MN,TH,10.1080/02699931.2019.1567464,"Wentura, Dirk",2019,FALSE,"NA",No empirical data,TRUE,favourable,favourable,TRUE,NA,NA,TRUE,"""However, there might be situations where parts of the network that are typically established as a consequence of X and Y might be fixed due to other causes (e.g. facial muscle states) and somewhat bias the system to settle into a specific maximum (Strack, Martin, & Stepper, 1988). Of course, plausibility arguments tell us from the start that these biases can only be weak, making their assessment problematic (e.g. Wagenmakers et al., 2016).""",NA,NA,WOS:000461547700013
