PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,C1,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,WC,UT,PM
J,"Spence, Charles",,,,,,,,Explaining diurnal patterns of food consumption,,,,,,,,FOOD QUALITY AND PREFERENCE,,,,91,,,,,,104198,10.1016/j.foodqual.2021.104198,,,Jul-21,2021,"When questioned, people typically report that different foods are appropriate at different times of day. What is more, patterns of food consumption tend to exhibit marked diurnal/circadian variations in many parts of the world too. The question addressed in this review is what factors help to explain these temporal differences in food consumption. While it has been suggested that our nutritional needs may differ somewhat over the course of the day, cultural conventions, marketing-led interventions, atmospheric (e.g., think only of changes in ambient temperature and/or daily light levels), perceptual (i.e., threshold) and/or hedonic changes, as well as psychological factors have also been suggested to play a role. Taken together, though, the evidence reviewed here would appear to support the view that cultural and psychological factors, not to mention the ubiquitous influence of food marketing, may be the most important factors in terms of helping to explain why it is that so many of us choose to eat different foods at different times of the day. Relevant psychological factors here include everything from the purported depletion of self-restraint resources over the course of the day through to the fulfilment of different psychological needs (e.g., functional or hedonic) associated with different mealtimes. Given the unhealthy foods typically associated with breakfast in many western countries (e.g., think only of sugar-laden breakfast cereals), gaining a better understanding of the factors underpinning current temporal patterns of food consumption may potentially help those wanting to nudge consumers toward making healthier food choices in the future.",,"[Spence, Charles] Univ Oxford, Dept Expt Psychol, Anna Watts Bldg, Oxford OX2 6GG, England; [Spence, Charles] Univ Oxford, Dept Expt Psychol, Anna Watts Bldg, Oxford OX2 6GG, England",,,,,,,,0,,,,,,,Food Science & Technology,WOS:000630943500002,
J,"Gross, Daniel",,,,,,,,In the self-control and self-regulation maze: Integration and importance,,,,,,,,PERSONALITY AND INDIVIDUAL DIFFERENCES,,,,175,,,,,,110728,10.1016/j.paid.2021.110728,,,Jun-21,2021,"Self-control and self-regulation can be seen as core aspects of adaptive human behavior, which are studied, largely in parallel, in the field of social, health, personality, cognitive, and developmental psychology. This review tries to firstly bring and review the different research directions together and shows the importance of self-control and self-regulation for present and future success in life by focusing on the marshmallow experiment, different self-control and self-regulation measurements like trait and state self-control, executive functions, heart rate variability, personality, and theories which combine control capacity and control motivation to predict self-control. Moreover, also the associations between different self-control and self-regulation variables are in the focus of this review.",,"[Gross, Daniel] Univ Educ Schwab Gmund, Dept Educ & Hlth Psychol, Oberbettringerstr 200, Schwabisch Gmund, Baden Wurttembe, Germany; [Gross, Daniel] Univ Educ Schwab Gmund, Dept Educ & Hlth Psychol, Oberbettringerstr 200, Schwabisch Gmund, Baden Wurttembe, Germany",,,,,,,,0,,,,,,,"Psychology, Social",WOS:000628819000042,
J,"Stromland, Eirik",,,,,,,,"Making our ""meta-hypotheses"" clear: heterogeneity and the role of direct replications in science",,,,,,,,EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE,,,,11,2,,,,,35,10.1007/s13194-021-00348-7,,,Jun-21,2021,"This paper argues that some of the discussion around meta-scientific issues can be viewed as an argument over different ""meta-hypotheses"" - assumptions made about how different hypotheses in a scientific literature relate to each other. I argue that, currently, such meta-hypotheses are typically left unstated except in methodological papers and that the consequence of this practice is that it is hard to determine what can be learned from a direct replication study. I argue in favor of a procedure dubbed the ""limited homogeneity assumption"" - assuming very little heterogeneity of effect sizes when a literature is initiated but switching to an assumption of heterogeneity once an initial finding has been successfully replicated in a direct replication study. Until that has happened, we do not allow the literature to proceed to a mature stage. This procedure will elevate the scientific status of direct replication studies in science. Following this procedure, a well-designed direct replication study is a means of falsifying an overall claim in an early phase of a literature and thus sets up a hurdle against the canonization of false facts in the behavioral sciences.",,"[Stromland, Eirik] Western Norway Univ Appl Sci, Dept Business Adm, PO 7802, N-5020 Bergen, Norway; [Stromland, Eirik] Western Norway Univ Appl Sci, Dept Business Adm, PO 7802, N-5020 Bergen, Norway",,,,,,,,0,,,,,,,History & Philosophy Of Science,WOS:000632377200001,
J,"Machery, Edouard",,,,,,,,A mistaken confidence in data,,,,,,,,EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE,,,,11,2,,,,,34,10.1007/s13194-021-00354-9,,,Jun-21,2021,"In this paper I explore an underdiscussed factor contributing to the replication crisis: Scientists, and following them policy makers, often neglect sources of errors in the production and interpretation of data and thus overestimate what can be learnt from them. This neglect leads scientists to conduct experiments that are insufficiently informative and science consumers, including other scientists, to put too much weight on experimental results. The former leads to fragile empirical literatures, the latter to surprise and disappointment when the fragility of the empirical basis of some disciplines is revealed.",,"[Machery, Edouard] Univ Pittsburgh, Dept Hist & Philosophy Sci, Pittsburgh, PA 15260 USA; [Machery, Edouard] Univ Pittsburgh, Ctr Philosophy Sci, Pittsburgh, PA 15260 USA; [Machery, Edouard] Univ Pittsburgh, Dept Hist & Philosophy Sci, Pittsburgh, PA 15260 USA; [Machery, Edouard] Univ Pittsburgh, Ctr Philosophy Sci, Pittsburgh, PA 15260 USA",,,,,,,,0,,,,,,,History & Philosophy Of Science,WOS:000630863200001,
J,"Rife, Sean C.; Rosati, Domenic; Nicholson, Joshua M.",,,,,,,,scite: The next generation of citations,,,,,,,,LEARNED PUBLISHING,,,,,,,,,,,10.1002/leap.1379,,,,2021,,,"[Rife, Sean C.; Rosati, Domenic; Nicholson, Joshua M.] Scite Inc, 334 Leonard St,6, Brooklyn, NY 11249 USA; [Rife, Sean C.] Murray State Univ, Murray, KY 42071 USA; [Rife, Sean C.; Nicholson, Joshua M.] Scite Inc, 334 Leonard St,6, Brooklyn, NY 11249 USA",,,,,,,,0,,,,,,,Information Science & Library Science,WOS:000631100600001,
J,"Bieleke, Maik; Barton, Leon; Wolff, Wanja",,,,,,,,Trajectories of boredom in self-control demanding tasks,,,,,,,,COGNITION & EMOTION,,,,,,,,,,,10.1080/02699931.2021.1901656,,,,2021,"Self-control does not always work effectively. Whether this reflects the depletion of a global self-control resource is subject to an ongoing debate. We turned to boredom as a potential confounding variable to advance this debate. In a high-powered experiment (N = 719), participants worked on a primary (transcription) task of varying self-control demands (low, high) and length (2, 4, 8 min), followed by a secondary (Stroop) task with low and high self-control demanding trials. In addition to trait boredom, we measured effort, difficulty, tiredness, frustration, and boredom after the primary task and repeatedly during the secondary task. Effort, difficulty, tiredness, and frustration increased with the demand and duration of the primary task; however, without affecting performance in the secondary task. Importantly, participants rated both the primary and the secondary task as boring, and higher boredom at the state and the trait level was associated with lower effort and higher difficulty, tiredness, and frustration. During the secondary task, boredom increased steadily but was generally lower in more self-control demanding trials. Finally, boredom predicted performance in the secondary task. These results show an intricate relationship between self-control and boredom that research on these two constructs should carefully disentangle.",,"[Bieleke, Maik] Univ Vienna, Dept Dev & Educ Psychol, Vienna, Austria; [Barton, Leon] Univ Konstanz, Dept Psychol, Constance, Germany; [Wolff, Wanja] Univ Konstanz, Dept Sport Sci, Constance, Germany; [Wolff, Wanja] Univ Bern, Dept Educ Psychol, Bern, Switzerland; [Bieleke, Maik] Univ Vienna, Dept Dev & Educ Psychol, Vienna, Austria",,,,,,,,0,,,,,,,"Psychology, Experimental",WOS:000630933500001,
J,"Baldwin, Cassandra; Garrison, Katie E.; Baumeister, Roy F.; Schmeichel, Brandon J.",,,,,,,,Making memorable choices: Cognitive control and the self-choice effect in memory,,,,,,,,SELF AND IDENTITY,,,,,,,,,,,10.1080/15298868.2021.1888787,,,,2021,"The current research tested the effects of active choice on memory (i.e., the self-choice effect). Across 14 experiments (N = 1100) we found that memory for choice alternatives was improved by choosing versus being assigned information to remember. A subset of 3 experiments found a bigger self-choice effect for more difficult choices. And a subset of 6 experiments found that prior acts of self-control reduce the self-choice effect. These findings represent unbiased estimates of the self-choice effect (d = 0. 62), the magnitude of the self-choice effect for easy (d = 0.35) versus more difficult (d = 0.87) choices, and the effect of ego depletion on choice memory (d = 0.39). Discussion centers on the role of cognitive control.",,"[Baldwin, Cassandra; Schmeichel, Brandon J.] Texas A&M Univ, Dept Psychol & Brain Sci, College Stn, TX USA; [Garrison, Katie E.] Univ Alabama, Dept Psychol, Box 870348, Tuscaloosa, AL 35487 USA; [Baumeister, Roy F.] Univ Queensland, Sch Psychol, Brisbane, Qld, Australia; [Baldwin, Cassandra] Texas A&M Univ, Dept Psychol, 4235 TAMU, College Stn, TX 77843 USA",,,,,,,,0,,,,,,,"Psychology, Social",WOS:000620040300001,
J,"Sekscinska, Katarzyna; Rudzinska-Wojciechowska, Joanna; Jaworska, Diana",,,,,,,,Self-control and investment choices,,,,,,,,JOURNAL OF BEHAVIORAL DECISION MAKING,,,,,,,,,,,10.1002/bdm.2236,,,,2021,"Three studies (N-1 = 799, N-2 = 359, and N-3 = 310) investigating the role of self-control in investment decisions are reported. Study 1 focused on links between trait self-control, the propensity to invest, and the propensity to make risky investment decisions. Study 2 investigated whether reflecting on one's prior successes and failures in exercising self-control has an impact on subsequent investment decisions. Study 3 considered the joint effect of both self-control factors considered in the first two studies. The results indicated that self-control plays a significant role in explaining investment decisions. Specifically, self-control level was positively related to the propensity to invest but negatively related to the propensity to take investment risks. Paralleling these findings, participants reflecting on situations in which they resisted temptation allocated more money to investments than control group members but were less willing to make risky decisions when creating investment portfolios. Finally, an interplay was observed between trait self-control and factors modifying the situational level of this variable: Among participants recalling successes in self-control, higher levels of trait self-control were linked to investment decisions, but this was untrue for participants reflecting on failures in self-control.",,"[Sekscinska, Katarzyna; Jaworska, Diana] Univ Warsaw, Fac Psychol, Stawki 5-7, PL-00183 Warsaw, Poland; [Rudzinska-Wojciechowska, Joanna] Kozminski Univ, Ctr Econ Psychol & Decis Sci, Warsaw, Poland; [Sekscinska, Katarzyna] Univ Warsaw, Fac Psychol, Stawki 5-7, PL-00183 Warsaw, Poland",,,,,,,,0,,,,,,,"Psychology, Applied",WOS:000619529000001,
J,"Wu, Mengyun; Zhang, Linrong; Imran, Muhammad; Xu, Jing; Yu, Ruihui",,,,,,,,Impact of differential leadership on innovative behavior of employees: A double-edged sword,,,,,,,,SOCIAL BEHAVIOR AND PERSONALITY,,,,49,2,,,,,e9746,10.2224/sbp.9746,,,Feb-21,2021,"We investigated if differential leadership predicts the innovative behavior of employees, and examined the mediating roles of work engagement and ego depletion in this relationship. Using a three-wave research design we collected leader-member dyad data from 198 leaders and 485 employees at nine Chinese companies. Results show that differential leadership had opposite effects, that is, it positively predicted the innovative behavior of employees through the mediator of work engagement, and it negatively predicted the innovative behavior of employees through the mediator of ego depletion. These findings contribute to understanding of the relationship between differential leadership and employees' innovative behavior, and provide a new theoretical perspective on differential leadership.",,"[Wu, Mengyun; Zhang, Linrong; Imran, Muhammad] Jiangsu Univ, Sch Finance & Econ, 301 Xuefu Rd, Zhenjiang 212013, Jiangsu, Peoples R China; [Xu, Jing] Yangzhou Univ, Business Sch, Yangzhou, Jiangsu, Peoples R China; [Yu, Ruihui] Chungnam Natl Univ, Dept Int Trade, Daejeon, South Korea; [Zhang, Linrong] Jiangsu Univ, Sch Finance & Econ, 301 Xuefu Rd, Zhenjiang 212013, Jiangsu, Peoples R China",,,,,,,,0,,,,,,,"Psychology, Social",WOS:000618650000003,
J,"Genschow, Oliver; Westfal, Mareike; Crusius, Jan; Bartosch, Leon; Feikes, Kyra Isabel; Pallasch, Nina; Wozniak, Mirella",,,,,,,,Does Social Psychology Persist Over Half a Century? A Direct Replication of Cialdini et al.'s (1975) Classic Door-in-the-Face Technique,,,,,,,,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,,,,120,2,,,E1,E7,,10.1037/pspa0000261,,,Feb-21,2021,"Many failed replications in social psychology have cast doubt on the validity of the field. Most of these replication attempts have focused on findings published from the 1990s on, ignoring a large body of older literature. As some scholars suggest that social psychological findings and theories are limited to a particular time, place, and population, we sought to test whether a classical social psychological finding that was published nearly half a century ago can be successfully replicated in another country on another continent. To this end, we directly replicated Cialdini et al.'s (1975) door-in-the-face (DITF) technique according to which people's likelihood to comply with a target request increases after having turned down a larger request. Thereby, we put the reciprocal concessions theory-the original process explanation of the DITF technique-to a critical test. Overall, compliance rates in our replication were similarly high as those Cialdini et al. (1975) found 45 years ago. That is, participants were more likely to comply with a target request after turning down an extreme request than participants who were exposed to the target request only or to a similarly small request before being exposed to the target request. These findings support the idea that reciprocity norms play a crucial role in DITF strategies. Moreover, the results suggest that at least some social psychological findings can transcend a particular time, place, and population. Further theoretical implications are discussed.",,"[Genschow, Oliver; Westfal, Mareike; Crusius, Jan; Bartosch, Leon; Feikes, Kyra Isabel; Pallasch, Nina; Wozniak, Mirella] Univ Cologne, Social Cognit Ctr Cologne, Richard Strauss St 2, D-50931 Cologne, Germany; [Genschow, Oliver] Univ Cologne, Social Cognit Ctr Cologne, Richard Strauss St 2, D-50931 Cologne, Germany",,,,,,,,1,,,,,,,"Psychology, Social",WOS:000618239900001,
