PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,C1,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,WC,UT,PM
J,"Stromland, Eirik",,,,,,,,"Making our ""meta-hypotheses"" clear: heterogeneity and the role of direct replications in science",,,,,,,,EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE,,,,11,2,,,,,35,10.1007/s13194-021-00348-7,,,Jun-21,2021,"This paper argues that some of the discussion around meta-scientific issues can be viewed as an argument over different ""meta-hypotheses"" - assumptions made about how different hypotheses in a scientific literature relate to each other. I argue that, currently, such meta-hypotheses are typically left unstated except in methodological papers and that the consequence of this practice is that it is hard to determine what can be learned from a direct replication study. I argue in favor of a procedure dubbed the ""limited homogeneity assumption"" - assuming very little heterogeneity of effect sizes when a literature is initiated but switching to an assumption of heterogeneity once an initial finding has been successfully replicated in a direct replication study. Until that has happened, we do not allow the literature to proceed to a mature stage. This procedure will elevate the scientific status of direct replication studies in science. Following this procedure, a well-designed direct replication study is a means of falsifying an overall claim in an early phase of a literature and thus sets up a hurdle against the canonization of false facts in the behavioral sciences.",,"[Stromland, Eirik] Western Norway Univ Appl Sci, Dept Business Adm, PO 7802, N-5020 Bergen, Norway; [Stromland, Eirik] Western Norway Univ Appl Sci, Dept Business Adm, PO 7802, N-5020 Bergen, Norway",,,,,,,,0,,,,,,,History & Philosophy Of Science,WOS:000632377200001,
J,"Breznau, Nate",,,,,,,,"I Saw You in the Crowd: Credibility, Reproducibility, and Meta-Utility",,,,,,,,PS-POLITICAL SCIENCE & POLITICS,,,,54,2,,,309,313,,10.1017/S1049096520000980,,,Apr-21,2021,,,"[Breznau, Nate] Univ Bremen, Bremen, Germany; [Breznau, Nate] Univ Bremen, Bremen, Germany",,,,,,,,0,,,,,,,Political Science,WOS:000627874100026,
J,"Valentine, Kathrene D.; Buchanan, Erin M.; Cunningham, Arielle; Hopke, Tabetha; Wikowsky, Addie; Wilson, Haley",,,,,,,,Have psychologists increased reporting of outliers in response to the reproducibility crisis?,,,,,,,,SOCIAL AND PERSONALITY PSYCHOLOGY COMPASS,,,,,,,,,,e12591,10.1111/spc3.12591,,,,2021,"Psychology is currently experiencing a ""renaissance"" where the replication and reproducibility of published reports are at the forefront of conversations in the field. While researchers have worked to discuss possible problems and solutions, work has yet to uncover how this new culture may have altered reporting practices in the social sciences. As outliers and other errant data points can bias both descriptive and inferential statistics, the search for these data points is essential to any analysis using these parameters. We quantified the rates of reporting of outliers and other data within psychology at two time points: 2012 when the replication crisis was born, and 2017, after the publication of reports concerning replication, questionable research practices, and transparency. A total of 2235 experiments were identified and analyzed, finding an increase in reporting from only 15.7% of experiments in 2012 to 25.0% in 2017. We investigated differences across years given the psychological field or statistical analysis that experiment employed. Further, we inspected whether data exclusions mentioned were whole participant observations or data points, and what reasons authors gave for stating the observation was deviant. We conclude that while report rates are improving overall, there is still room for improvement in the reporting practices of psychological scientists which can only aid in strengthening our science.",,"[Valentine, Kathrene D.] Massachusetts Gen Hosp, Hlth Decis Sci Ctr, Boston, MA 02114 USA; [Valentine, Kathrene D.] Harvard Med Sch, Dept Med, Boston, MA 02115 USA; [Buchanan, Erin M.] Harrisburg Univ Sci & Technol, Dept Analyt, Harrisburg, PA USA; [Cunningham, Arielle; Hopke, Tabetha; Wikowsky, Addie; Wilson, Haley] Missouri State Univ, Dept Psychol Sci, Springfield, MO USA; [Valentine, Kathrene D.] 100 Cambridge St, Boston, MA 02114 USA",,,,,,,,0,,,,,,,"Psychology, Social",WOS:000631929600001,
J,"Edlund, John E.; Cuccolo, Kelly; Irgens, Megan S.; Wagge, Jordan R.; Zlokovich, Martha S.",,,,,,,,Saving Science Through Replication Studies,,,,,,,,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,,,,,,,,,,1.74569E+15,10.1177/1745691620984385,,,,2021,"The scientific enterprise has long been based on the presumption of replication, although scientists have recently become aware of various corruptions of the enterprise that have hurt replicability. In this article, we begin by considering three illustrations of research paradigms that have all been subject to intense scrutiny through replications and theoretical concerns. The three paradigms are one for which the corpus of research points to a real finding, one for which the corpus of research points to a significantly attenuated effect, and one for which the debate is ongoing. We then discuss what scientists can learn-and how science can be improved-through replications more generally. From there, we discuss what we believe needs to be done to improve scientific inquiry with regard to replication moving forward. Finally, we conclude by providing readers with several different approaches to replication and how these approaches progress science. The approaches discussed include multilab replications of many effects, multilab replications of specific effects, adversarial collaborations, and stand-alone applications.",,"[Edlund, John E.] Rochester Inst Technol, Dept Psychol, Rochester, NY 14623 USA; [Cuccolo, Kelly] Univ North Dakota, Dept Psychol, Grand Forks, ND USA; [Irgens, Megan S.] Univ Arizona, Dept Psychol, Tucson, AZ 85721 USA; [Wagge, Jordan R.] Avila Univ, Dept Psychol, Kansas City, MO USA; [Zlokovich, Martha S.] Psi Chi, Chattanooga, TN USA; [Edlund, John E.] Rochester Inst Technol, Dept Psychol, Rochester, NY 14623 USA",,,,,,,,0,,,,,,,"Psychology, Multidisciplinary",WOS:000626700800001,
J,"Moshontz, Hannah; Ebersole, Charles R.; Weston, Sara J.; Klein, Richard A.",,,,,,,,A guide for many authors: Writing manuscripts in large collaborations,,,,,,,,SOCIAL AND PERSONALITY PSYCHOLOGY COMPASS,,,,,,,,,,,10.1111/spc3.12590,,,,2021,"Writing manuscripts collaboratively affords both opportunities and challenges: Collaborative papers can benefit from the expertise, perspectives, and collective effort of the group but can lack coherence or be produced inefficiently. When collaborations are large, involving tens or hundreds of researchers, there are more and different opportunities and challenges, like appropriately crediting the contributions of many people. This paper is a practical guide for authors writing collaborative manuscripts, particularly those working in large collaborations. We emphasize the importance of deliberate leadership and describe five general strategies that lead authors can employ to maximize opportunities and navigate challenges: care in recruiting the author team, care in crediting the author team, clear and frequent communication, organized materials, and deliberate and early decision-making. For each, we offer specific tips in line with these strategies (e.g., use collaboration agreements, leverage Open Science practices). We then suggest how lead authors can structure the writing and revising process to produce a coherent manuscript and offer tips for submitting papers and responding to peer-reviews. A repository of resources for people writing manuscripts in collaborations is available at osf.io/dzwcn.",,"[Moshontz, Hannah] Univ Wisconsin, Dept Psychol, 1202 W Johnson St, Madison, WI 53715 USA; [Ebersole, Charles R.] Univ Virginia, Dept Psychol, Gilmer Hall, Charlottesville, VA 22903 USA; [Weston, Sara J.] Univ Oregon, Dept Psychol, Eugene, OR 97403 USA; [Klein, Richard A.] Tilburg Univ, Dept Methodol & Stat, Tilburg, Netherlands; [Moshontz, Hannah] Univ Wisconsin, Dept Psychol, 1202 W Johnson St, Madison, WI 53715 USA",,,,,,,,0,,,,,,,"Psychology, Social",WOS:000625653200001,
J,"Sinclair, Samantha; Carlsson, Rickard",,,,,,,,Reactions to affirmative action policies in hiring: Effects of framing and beneficiary gender,,,,,,,,ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY,,,,,,,,,,,10.1111/asap.12236,,,,2021,"Affirmative action policies aim to reduce gaps between social groups, yet they are often perceived negatively. The present research examined reactions to an organization's preferential treatment policy based on gender, focusing on whether positive versus negative framing of the scenario and gender of the beneficiary matter for these reactions. The results of two preregistered experiments conducted in Sweden (N = 556) did not provide support for the hypothesis that framing the affirmative action scenario as adding minority women compared to framing it as rejecting majority men would produce more favorable perceptions and reduced feelings of resentment. Moreover, we found no support for the hypothesis that the effects of framing would be weaker in the case of male beneficiaries compared to female beneficiaries. However, we found clear support for the hypothesis that the policy was perceived more favorably when the beneficiary was female rather than male. Theoretical and practical implications are discussed.",,"[Sinclair, Samantha; Carlsson, Rickard] Linnaeus Univ, Dept Psychol, SE-35195 Vaxjo, Sweden; [Sinclair, Samantha] Linnaeus Univ, Dept Psychol, SE-35195 Vaxjo, Sweden",,,,,,,,0,,,,,,,"Social Issues; Psychology, Social",WOS:000625186700001,
J,"Urry, Heather L.; Crittle, Chelsea S.; Floerke, Victoria A.; Leonard, Michael Z.; Perry, Clinton S., III; Akdilek, Naz; Albert, Erica R.; Block, Avram J.; Bollinger, Caroline Ackerley; Bowers, Emily M.; Brody, Renee S.; Burk, Kelly C.; Burnstein, Ally; Chan, Allissa K.; Chan, Petrina C.; Chang, Lena J.; Chen, Emily; Chiarawongse, Chakrapand Paul; Chin, Gregory; Chin, Kathy; Cooper, Ben G.; Corneilson, Katherine Adele; Danielson, Amanda M.; Davis, Elizabeth S.; Devis, Ycar; Dong, Melissa; Dossett, Elizabeth K.; Dulchin, Nick; Duong, Vincent N.; Ewing, Ben; Fuller, Julia Mansfield; Gartman, Thomas E.; Goldberg, Chad R.; Greenfield, Jesse; Groh, Selena; Hamilton, Ross A.; Hodge, Will; Van Hong, Dylan; Insler, Joshua E.; Jahan, Aava B.; Jimbo, Jessica Paola; Kahn, Emma M.; Knight, Daniel; Konstantin, Grace E.; Kornick, Caitlin; Kramer, Zachary J.; Lauze, Meghan S.; Linnehan, Misha S.; Lombardi, Tommaso; Long, Hayley; Lotstein, Alec J.; Lyncee, Myrna-Nahisha A.; Lyons, Monica Gabriella; Maayan, Eli; May, Nicole Marie; McCall, Elizabeth C.; Montgomery-Walsh, Rhea Ann Charlotte; Morscher, Michael C.; Moser, Amelia D.; Mueller, Alexandra S.; Mujica, Christin A.; Na, Elim; Newman, Isabelle R.; O'Brien, Meghan K.; Castillo, Katherine Alexandra Ochoa; Onipede, Zaenab Ayotola; Pace, Danielle A.; Park, Jasper H.; Perdikari, Angeliki; Perloff, Catherine E.; Perry, Rachel C.; Pillai, Akash A.; Rajpal, Avni; Ranalli, Emma; Schreier, Jillian E.; Shangguan, Justin R.; Silver, Micaela Jen; Spratt, Avery Glennon; Stein, Rachel E.; Steinhauer, Grant J.; Valera, Devon K.; Vervoordt, Samantha M.; Walton, Lena; Weinflash, Noah W.; Weinstock, Karen; Yuan, Jiaqi; Zarrella, Dominique T.; Zarrow, Jonah E.",,,,,,,,Don't Ditch the Laptop Just Yet: A Direct Replication of Mueller and Oppenheimer's (2014) Study 1 Plus Mini Meta-Analyses Across Similar Studies,,,,,,,,PSYCHOLOGICAL SCIENCE,,,,32,3,,,326,339,,10.1177/0956797620965541,,,Mar-21,2021,"In this direct replication of Mueller and Oppenheimer's (2014) Study 1, participants watched a lecture while taking notes with a laptop (n = 74) or longhand (n = 68). After a brief distraction and without the opportunity to study, they took a quiz. As in the original study, laptop participants took notes containing more words spoken verbatim by the lecturer and more words overall than did longhand participants. However, laptop participants did not perform better than longhand participants on the quiz. Exploratory meta-analyses of eight similar studies echoed this pattern. In addition, in both the original study and our replication, higher word count was associated with better quiz performance, and higher verbatim overlap was associated with worse quiz performance, but the latter finding was not robust in our replication. Overall, results do not support the idea that longhand note taking improves immediate learning via better encoding of information.",,"[Urry, Heather L.; Crittle, Chelsea S.; Floerke, Victoria A.; Leonard, Michael Z.; Perry, Clinton S., III; Akdilek, Naz; Albert, Erica R.; Block, Avram J.; Bollinger, Caroline Ackerley; Bowers, Emily M.; Brody, Renee S.; Burk, Kelly C.; Burnstein, Ally; Chan, Allissa K.; Chan, Petrina C.; Chang, Lena J.; Chen, Emily; Chiarawongse, Chakrapand Paul; Chin, Gregory; Chin, Kathy; Cooper, Ben G.; Corneilson, Katherine Adele; Danielson, Amanda M.; Davis, Elizabeth S.; Devis, Ycar; Dong, Melissa; Dossett, Elizabeth K.; Dulchin, Nick; Duong, Vincent N.; Ewing, Ben; Fuller, Julia Mansfield; Gartman, Thomas E.; Goldberg, Chad R.; Greenfield, Jesse; Groh, Selena; Hamilton, Ross A.; Hodge, Will; Van Hong, Dylan; Insler, Joshua E.; Jahan, Aava B.; Jimbo, Jessica Paola; Kahn, Emma M.; Knight, Daniel; Konstantin, Grace E.; Kornick, Caitlin; Kramer, Zachary J.; Lauze, Meghan S.; Linnehan, Misha S.; Lombardi, Tommaso; Long, Hayley; Lotstein, Alec J.; Lyncee, Myrna-Nahisha A.; Lyons, Monica Gabriella; Maayan, Eli; May, Nicole Marie; McCall, Elizabeth C.; Montgomery-Walsh, Rhea Ann Charlotte; Morscher, Michael C.; Moser, Amelia D.; Mueller, Alexandra S.; Mujica, Christin A.; Na, Elim; Newman, Isabelle R.; O'Brien, Meghan K.; Castillo, Katherine Alexandra Ochoa; Onipede, Zaenab Ayotola; Pace, Danielle A.; Park, Jasper H.; Perdikari, Angeliki; Perloff, Catherine E.; Perry, Rachel C.; Pillai, Akash A.; Rajpal, Avni; Ranalli, Emma; Schreier, Jillian E.; Shangguan, Justin R.; Silver, Micaela Jen; Spratt, Avery Glennon; Stein, Rachel E.; Steinhauer, Grant J.; Valera, Devon K.; Vervoordt, Samantha M.; Walton, Lena; Weinflash, Noah W.; Weinstock, Karen; Yuan, Jiaqi; Zarrella, Dominique T.; Zarrow, Jonah E.] Tufts Univ, Dept Psychol, Medford, MA 02155 USA; [Insler, Joshua E.] Rush Univ, Rush Med Coll, Chicago, IL 60612 USA; [Moser, Amelia D.] Univ Colorado, Dept Psychol & Neurosci, Boulder, CO 80309 USA; [Na, Elim] Boston Univ, Sch Med, Boston, MA 02215 USA; [Urry, Heather L.] Tufts Univ, Dept Psychol, Medford, MA 02155 USA",,,,,,,,0,,,,,,,"Psychology, Multidisciplinary",WOS:000629257200002,
J,"Lantian, A.",,,,,,,,Open research practices in psychology,,,,,,,,PSYCHOLOGIE FRANCAISE,,,,66,1,,,71,90,,10.1016/j.psfr.2020.09.001,,,Mar-21,2021,"This article aims to provide an overview of the recent developments of research practices in psychology. A review of the different symptoms of the crisis of replicability (and of confidence) that affected psychology will be followed by an in-depth and nuanced discussion of the factors responsible for this situation. Then, the next step will be to demonstrate, using illustrations and resources, the crucial role of open research practices to address these challenges. Knowledge and adoption of these research practices popularized by the open science movement are essential to contribute, through transparency and openness, to the collective effort to improve the reliability and replicability of psychological results. (C) 2020 Societe Francaise de Psychologie. Published by Elsevier Masson SAS. All rights reserved.",,"[Lantian, A.] Univ Paris Nanterre, UPL, Lab Parisien Psychol Sociale, 200 Ave Republ, F-92100 Nanterre, France; [Lantian, A.] Univ Paris Nanterre, UPL, Lab Parisien Psychol Sociale, 200 Ave Republ, F-92100 Nanterre, France",,,,,,,,0,,,,,,,"Psychology, Multidisciplinary",WOS:000625307300005,
J,"Tierney, Warren; Hardy, Jay, III; Ebersole, Charles R.; Viganola, Domenico; Clemente, Elena Giulia; Gordon, Michael; Hoogeveen, Suzanne; Haaf, Julia; Dreber, Anna; Johannesson, Magnus; Pfeiffer, Thomas; Huang, Jason L.; Vaughn, Leigh Ann; DeMarree, Kenneth; Igou, Eric R.; Chapman, Hanah; Gantman, Ana; Vanaman, Matthew; Wylie, Jordan; Storbeck, Justin; Andreychik, Michael R.; McPhetres, Jon; Uhlmann, Eric Luis",,Culture Work Morality Forecasting,,,,,,A creative destruction approach to replication: Implicit work and sex morality across cultures,,,,,,,,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,,,,93,,,,,,104060,10.1016/j.jesp.2020.104060,,,Mar-21,2021,"How can we maximize what is learned from a replication study? In the creative destruction approach to replication, the original hypothesis is compared not only to the null hypothesis, but also to predictions derived from multiple alternative theoretical accounts of the phenomenon. To this end, new populations and measures are included in the design in addition to the original ones, to help determine which theory best accounts for the results across multiple key outcomes and contexts. The present pre-registered empirical project compared the Implicit Puritanism account of intuitive work and sex morality to theories positing regional, religious, and social class differences; explicit rather than implicit cultural differences in values; self-expression vs. survival values as a key cultural fault line; the general moralization of work; and false positive effects. Contradicting Implicit Puritanism's core theoretical claim of a distinct American work morality, a number of targeted findings replicated across multiple comparison cultures, whereas several failed to replicate in all samples and were identified as likely false positives. No support emerged for theories predicting regional variability and specific individual-differences moderators (religious affiliation, religiosity, and education level). Overall, the results provide evidence that work is intuitively moralized across cultures.",,"[Tierney, Warren; Uhlmann, Eric Luis] INSEAD, Singapore, Singapore; [Hardy, Jay, III] Oregon State Univ, Corvallis, OR 97331 USA; [Ebersole, Charles R.] Univ Virginia, Charlottesville, VA 22903 USA; [Viganola, Domenico] World Bank, 1818 H St NW, Washington, DC 20433 USA; [Clemente, Elena Giulia; Dreber, Anna; Johannesson, Magnus] Stockholm Sch Econ, Stockholm, Sweden; [Gordon, Michael; Pfeiffer, Thomas] Massey Univ, Palmerston North, New Zealand; [Hoogeveen, Suzanne; Haaf, Julia] Univ Amsterdam, Amsterdam, Netherlands; [Dreber, Anna] Univ Innsbruck, Innsbruck, Austria; [Huang, Jason L.] Michigan State Univ, E Lansing, MI 48824 USA; [Vaughn, Leigh Ann] Ithaca Coll, Ithaca, NY 14850 USA; [DeMarree, Kenneth] SUNY Buffalo, Buffalo, NY USA; [Igou, Eric R.] Univ Limerick, Limerick, Ireland; [Chapman, Hanah; Gantman, Ana; Vanaman, Matthew] Brooklyn Coll CUNY, Brooklyn, NY USA; [Wylie, Jordan; Storbeck, Justin] Queens Coll CUNY, New York, NY USA; [Andreychik, Michael R.] Fairfield Univ, Fairfield, CT 06430 USA; [McPhetres, Jon] Univ Durham, Durham, England; [Tierney, Warren; Uhlmann, Eric Luis] INSEAD, Org Behav Area, 1 Ayer Rajah Ave, Singapore 138676, Singapore",,,,,,,,0,,,,,,,"Psychology, Social",WOS:000618203300003,
J,"Andersson, Hanna; Bokman, Fredrik; Wallhagen, Marita; Holmgren, Mattias; Sorqvist, Patrik; Ahonen-Jonnarth, Ulla",,,,,,,,Anchoring effect in judgments of objective fact and subjective preference,,,,,,,,FOOD QUALITY AND PREFERENCE,,,,88,,,,,,104102,10.1016/j.foodqual.2020.104102,,,Mar-21,2021,"The way by which various sources of external information interact in their effects on judgment is rarely investigated. Here, we report two experiments that examine how two sources of external information-an anchor (a reference price) and an eco-label-influence judgments of an objective fact (product price) and a subjective preference (willingness-to-pay for the product). Participants' price judgments were drawn in the direction of the anchor point, whereas the eco-label resulted in higher judgments of objective fact (Experiment 1) but did not influence subjective preference (Experiment 2). Interestingly, the eco-label seemed to strengthen the effect of the high anchor in judgments of objective fact. Further, participants with higher environmental concern answered a higher price on the subjective preference questions when they received a high anchor, as well as a lower price when they received a low anchor in comparison to the low environmental concern group. This study demonstrates that various external information sources can strengthen each other's effects on consumer belief about products, while the effects are weaker for consumers' preferences. The implications of the results for decision making are discussed.",,"[Andersson, Hanna; Bokman, Fredrik; Ahonen-Jonnarth, Ulla] Univ Gavle, Dept Comp & Geospatial Sci, Gavle, Sweden; [Andersson, Hanna; Wallhagen, Marita; Holmgren, Mattias] Univ Gavle, Dept Bldg Engn Energy Syst & Sustainabil Sci, Gavle, Sweden; [Sorqvist, Patrik] Univ Gavle, Dept Business & Econ Studies, Gavle, Sweden; [Andersson, Hanna] Univ Gavle, Kungsbacksvagan 47, SE-80176 Gavle, Sweden",,,,,,,,0,,,,,,,Food Science & Technology,WOS:000594108600005,
