PT,disambiguate,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,PM
J,NA,"Fernandes, Alexandre C.; Garcia-Marques, Teresa",NA,NA,NA,NA,NA,NA,NA,The perception of time is dynamically interlocked with the facial muscle activity,NA,NA,NA,NA,NA,NA,NA,SCIENTIFIC REPORTS,NA,NA,NA,9,NA,NA,NA,NA,NA,18737,10.1038/s41598-019-55029-6,NA,NA,DEC 10 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000501891500001,NA
J,NA,"Schoeller, F.; Haar, A. J. H.; Jain, A.; Maes, P.",NA,NA,NA,NA,NA,NA,NA,Enhancing human emotions with interoceptive technologies,NA,NA,NA,NA,NA,NA,NA,PHYSICS OF LIFE REVIEWS,NA,NA,NA,31,NA,NA,NA,310,319,NA,10.1016/j.plrev.2019.10.008,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000506723100022,NA
J,NA,"Marsh, Abigail A.; Rhoads, Shawn A.; Ryan, Rebecca M.",NA,NA,NA,NA,NA,NA,NA,A Multi-Semester Classroom Demonstration Yields Evidence in Support of the Facial Feedback Effect,NA,NA,NA,NA,NA,NA,NA,EMOTION,NA,NA,NA,19,8,NA,NA,1500,1504,NA,10.1037/emo0000532,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,WOS:000500013700016,NA
J,NA,"Beharrell, William H.",NA,NA,NA,NA,NA,NA,NA,"TRANSFORMATION AND THE WAKING BODY: A RETURN TO TRUTH VIA OUR BODIES with Fraser Watts, ""Mutual Enhancement between Science and Religion: In the Footsteps of the Epiphany Philosophers""; William H. Beharrell, ""Transformation and the Waking Body: A Return to Truth via our Bodies""; Marius Dorobantu and Yorick Wilks, ""Moral Orthoses: A New Approach to Human and Machine Ethics""; Galen Watts, ""Religion, Science, and Disenchantment in Late Modernity""; and Rowan Williams, ""Epiphany Philosophers: Afterword.""",NA,NA,NA,NA,NA,NA,NA,ZYGON,NA,NA,NA,54,4,NA,NA,984,1003,NA,10.1111/zygo.12553,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000496165000010,NA
J,NA,"Virhia, Jasmine; Kotz, Sonja A.; Adank, Patti",NA,NA,NA,NA,NA,NA,NA,Emotional state dependence facilitates automatic imitation of visual speech,NA,NA,NA,NA,NA,NA,NA,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,NA,NA,NA,72,12,NA,NA,2833,2847,NA,10.1177/1747021819867856,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000494437800010,NA
J,NA,"Derya, Dilara; Kang, June; Kwon, Young; Wallraven, Christian",NA,NA,NA,NA,NA,NA,NA,"Facial Expression Processing Is Not Affected by Parkinson's Disease, but by Age-Related Factors",NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,2458,10.3389/fpsyg.2019.02458,NA,NA,NOV 14 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000535786900001,NA
J,NA,"Heylighen, Ann; Dong, Andy",NA,NA,NA,NA,NA,NA,NA,To empathise or not to empathise? Empathy and its limits in design,NA,NA,NA,NA,NA,NA,NA,DESIGN STUDIES,NA,NA,NA,65,NA,NA,NA,107,124,NA,10.1016/j.destud.2019.10.007,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000504782100007,NA
J,NA,"Osborne-Crowley, Katherine; Wilson, Emily; De Blasio, Frances; Wearne, Travis; Rushby, Jacqueline; McDonald, Skye",NA,NA,NA,NA,NA,NA,NA,Subjective Emotional Experience and Physiological Responsivity to Posed Emotions in People With Traumatic Brain Injury,NA,NA,NA,NA,NA,NA,NA,NEUROPSYCHOLOGY,NA,NA,NA,33,8,NA,NA,1151,1162,NA,10.1037/neu0000580,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000494295100011,NA
J,NA,"Kuehne, Maria; Siwy, Isabelle; Zaehle, Tino; Heinze, Hans-Jochen; Lobmaier, Janek S.",NA,NA,NA,NA,NA,NA,NA,Out of Focus: Facial Feedback Manipulation Modulates Automatic Processing of Unattended Emotional Faces,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF COGNITIVE NEUROSCIENCE,NA,NA,NA,31,11,NA,NA,1631,1640,NA,10.1162/jocn_a_01445,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000489746800003,NA
J,NA,"Huggins, Charlotte F.; Cameron, Isobel M.; Williams, Justin H. G.",NA,NA,NA,NA,NA,NA,NA,Different Aspects of Emotional Awareness in Relation to Motor Cognition and Autism Traits,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,2439,10.3389/fpsyg.2019.02439,NA,NA,OCT 30 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000497542400001,NA
J,NA,"Doulatova, Maria",NA,NA,NA,NA,NA,NA,NA,Tracking intentionalism and the phenomenology of mental effort,NA,NA,NA,NA,NA,NA,NA,SYNTHESE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s11229-019-02347-x,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000492642700003,NA
J,NA,"Iani, Francesco",NA,NA,NA,NA,NA,NA,NA,Embodied memories: Reviewing the role of the body in memory processes,NA,NA,NA,NA,NA,NA,NA,PSYCHONOMIC BULLETIN & REVIEW,NA,NA,NA,26,6,NA,NA,1747,1766,NA,10.3758/s13423-019-01674-x,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000492578500002,NA
J,NA,"Cross, Marie P.; Gheorma, Liana; Pressman, Sarah D.",NA,NA,NA,NA,NA,NA,NA,Contrasting Experimentally Device-Manipulated and Device-Free Smiles,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,2297,10.3389/fpsyg.2019.02297,NA,NA,OCT 15 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000497505100001,NA
J,NA,"Rouder, Jeffrey N.; Haaf, Julia M.; Davis-Stober, Clintin P.; Hilgard, Joseph",NA,NA,NA,NA,NA,NA,NA,Beyond Overall Effects: A Bayesian Approach to Finding Constraints in Meta-Analysis,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGICAL METHODS,NA,NA,NA,24,5,NA,NA,606,621,NA,10.1037/met0000216,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000488839300007,NA
J,NA,"Coles, Nicholas A.; Larsen, Jeff T.; Kuribayashi, Joyce; Kuelz, Ashley",NA,NA,NA,NA,NA,NA,NA,Does Blocking Facial Feedback Via Botulinum Toxin Injections Decrease Depression? A Critical Review and Meta-Analysis,NA,NA,NA,NA,NA,NA,NA,EMOTION REVIEW,NA,NA,NA,11,4,NA,NA,294,309,NA,10.1177/1754073919868762,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000487911000003,NA
J,NA,"Bulnes, L. C.; Marien, P.; Vandekerckhove, M.; Cleeremans, A.",NA,NA,NA,NA,NA,NA,NA,The effects of Botulinum toxin on the detection of gradual changes in facial emotion,NA,NA,NA,NA,NA,NA,NA,SCIENTIFIC REPORTS,NA,NA,NA,9,NA,NA,NA,NA,NA,11734,10.1038/s41598-019-48275-1,NA,NA,AUG 13 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000480517100014,NA
J,NA,"Melzer, Ayelet; Shafir, Tal; Tsachor, Rochelle Palnick",NA,NA,NA,NA,NA,NA,NA,How Do We Recognize Emotion From Movement? Specific Motor Components Contribute to the Recognition of Each Emotion,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,1389,10.3389/fpsyg.2019.01389,NA,NA,JUL 3 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,WOS:000473589800001,NA
J,NA,"Isern-Mas, Carme; Gomila, Antoni",NA,NA,NA,NA,NA,NA,NA,Making Sense of Emotional Contagion,NA,NA,NA,NA,NA,NA,NA,HUMANA MENTE-JOURNAL OF PHILOSOPHICAL STUDIES,NA,NA,NA,NA,35,NA,NA,71,100,NA,NA,NA,NA,19-Jul,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000497712900005,NA
J,NA,"Sizer, Laura",NA,NA,NA,NA,NA,NA,NA,Sad Songs Say So Much: The Paradoxical Pleasures of Sad Music,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF AESTHETICS AND ART CRITICISM,NA,NA,NA,77,3,NA,NA,255,266,NA,10.1111/jaac.12659,NA,NA,19-Jun,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000478740700002,NA
J,NA,"Marmeleira, Jose; Santos, Graca Duarte",NA,NA,NA,NA,NA,NA,NA,Do Not Neglect the Body and Action: The Emergence of Embodiment Approaches to Understanding Human Development,NA,NA,NA,NA,NA,NA,NA,PERCEPTUAL AND MOTOR SKILLS,NA,NA,NA,126,3,NA,NA,410,445,NA,10.1177/0031512519834389,NA,NA,19-Jun,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,WOS:000473508600004,NA
J,NA,"Palagi, Elisabetta; Norscia, Ivan; Pressi, Serena; Cordoni, Giada",NA,NA,NA,NA,NA,NA,NA,Facial Mimicry and Play: A Comparative Study in Chimpanzees and Gorillas,NA,NA,NA,NA,NA,NA,NA,EMOTION,NA,NA,NA,19,4,NA,NA,665,681,NA,10.1037/emo0000476,NA,NA,19-Jun,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,WOS:000468755500011,NA
J,NA,"Coles, Nicholas A.; Larsen, Jeff T.; Lench, Heather C.",NA,NA,NA,NA,NA,NA,NA,A Meta-Analysis of the Facial Feedback Literature: Effects of Facial Feedback on Emotional Experience Are Small and Variable,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGICAL BULLETIN,NA,NA,NA,145,6,NA,NA,610,651,NA,10.1037/bul0000194,NA,NA,19-Jun,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,WOS:000468382400003,NA
J,NA,"Wrobel, Monika; Imbir, Kamil K.",NA,NA,NA,NA,NA,NA,NA,Broadening the Perspective on Emotional Contagion and Emotional Mimicry: The Correction Hypothesis,NA,NA,NA,NA,NA,NA,NA,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,NA,NA,NA,14,3,NA,NA,437,451,NA,10.1177/1745691618808523,NA,NA,19-May,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,WOS:000468290800008,NA
J,NA,"Rummer, Ralf; Schweppe, Judith",NA,NA,NA,NA,NA,NA,NA,Talking emotions: vowel selection in fictional names depends on the emotional valence of the to-be-named faces and objects,NA,NA,NA,NA,NA,NA,NA,COGNITION & EMOTION,NA,NA,NA,33,3,NA,NA,404,416,NA,10.1080/02699931.2018.1456406,NA,NA,APR 3 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000465125200002,NA
