PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,C1,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,WC,UT,PM
J,"Stromland, Eirik",,,,,,,,"Making our ""meta-hypotheses"" clear: heterogeneity and the role of direct replications in science",,,,,,,,EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE,,,,11,2,,,,,35,10.1007/s13194-021-00348-7,,,Jun-21,2021,"This paper argues that some of the discussion around meta-scientific issues can be viewed as an argument over different ""meta-hypotheses"" - assumptions made about how different hypotheses in a scientific literature relate to each other. I argue that, currently, such meta-hypotheses are typically left unstated except in methodological papers and that the consequence of this practice is that it is hard to determine what can be learned from a direct replication study. I argue in favor of a procedure dubbed the ""limited homogeneity assumption"" - assuming very little heterogeneity of effect sizes when a literature is initiated but switching to an assumption of heterogeneity once an initial finding has been successfully replicated in a direct replication study. Until that has happened, we do not allow the literature to proceed to a mature stage. This procedure will elevate the scientific status of direct replication studies in science. Following this procedure, a well-designed direct replication study is a means of falsifying an overall claim in an early phase of a literature and thus sets up a hurdle against the canonization of false facts in the behavioral sciences.",,"[Stromland, Eirik] Western Norway Univ Appl Sci, Dept Business Adm, PO 7802, N-5020 Bergen, Norway; [Stromland, Eirik] Western Norway Univ Appl Sci, Dept Business Adm, PO 7802, N-5020 Bergen, Norway",,,,,,,,0,,,,,,,History & Philosophy Of Science,WOS:000632377200001,
J,"Nieuwburg, Elisabeth G. I.; Ploeger, Annemie; Kret, Mariska E.",,,,,,,,Emotion recognition in nonhuman primates: How experimental research can contribute to a better understanding of underlying mechanisms,,,,,,,,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,,,,123,,,,24,47,,10.1016/j.neubiorev.2020.11.029,,,Apr-21,2021,"Recognising conspecifics' emotional expressions is important for nonhuman primates to navigate their physical and social environment. We address two possible mechanisms underlying emotion recognition: emotional contagion, the automatic matching of the observer's emotions to the emotional state of the observed individual, and cognitive empathy, the ability to understand the meaning and cause of emotional expressions while maintaining a distinction between own and others' emotions. We review experimental research in nonhuman primates to gain insight into the evolution of emotion recognition. Importantly, we focus on how emotional contagion and cognitive empathy can be studied experimentally. Evidence for aspects of cognitive empathy in different nonhuman primate lineages suggests that a wider range of primates than commonly assumed can infer emotional meaning from emotional expressions. Possibly, analogous rather than homologous evolution underlies emotion recognition. However, conclusions regarding its exact evolutionary course require more research in different modalities and species.",,"[Nieuwburg, Elisabeth G. I.] Univ Amsterdam, Inst Interdisciplinary Studies IIS, Amsterdam, Netherlands; [Ploeger, Annemie] Univ Amsterdam, Fac Social & Behav Sci, Programme Grp Dev Psychol, Amsterdam, Netherlands; [Kret, Mariska E.] Leiden Univ, Inst Psychol, Cognit Psychol Unit, Leiden, Netherlands; [Kret, Mariska E.] Leiden Univ, Leiden Inst Brain & Cognit LIBC, Leiden, Netherlands; [Kret, Mariska E.] Wassenaarseweg 52, NL-2333 AK Leiden, Netherlands",,,,,,,,1,,,,,,,Behavioral Sciences; Neurosciences,WOS:000623668700003,
J,"Garrido, Margarida V.; Godinho, Sandra",,,,,,,,When vowels make us smile: the influence of articulatory feedback in judgments of warmth and competence,,,,,,,,COGNITION & EMOTION,,,,,,,,,,,10.1080/02699931.2021.1900076,,,,2021,"In six studies (N=725), we extended the articulatory feedback hypothesis to person perception, examining how words featuring /i:/ sounds that activate the zygomaticus major muscle and words featuring /u:/ sounds activating the orbicularis oris muscle affect preference, warmth, and competence judgments of mock-usernames. Users with usernames including /i:/, in contrast to /u:/ sounds, were always preferred and judged as warmer and more competent. The impact of this manipulation in shaping preference as well as judgments on the core dimensions of social perception confirms the stability of the vowel-emotion link and the role of articulatory feedback in social information processing.",,"[Garrido, Margarida V.] Inst Univ Lisboa ISCTE IUL, Ctr Invest & Intervencao Social, Lisbon, Portugal; [Godinho, Sandra] Univ Lisbon, Fac Psicol, Ctr Invest Ciencia Psicol, Lisbon, Portugal; [Garrido, Margarida V.] Inst Univ Lisboa ISCTE IUL, Ctr Invest & Intervencao Social, Lisbon, Portugal",,,,,,,,0,,,,,,,"Psychology, Experimental",WOS:000630929700001,
J,"Lantian, A.",,,,,,,,Open research practices in psychology,,,,,,,,PSYCHOLOGIE FRANCAISE,,,,66,1,,,71,90,,10.1016/j.psfr.2020.09.001,,,Mar-21,2021,"This article aims to provide an overview of the recent developments of research practices in psychology. A review of the different symptoms of the crisis of replicability (and of confidence) that affected psychology will be followed by an in-depth and nuanced discussion of the factors responsible for this situation. Then, the next step will be to demonstrate, using illustrations and resources, the crucial role of open research practices to address these challenges. Knowledge and adoption of these research practices popularized by the open science movement are essential to contribute, through transparency and openness, to the collective effort to improve the reliability and replicability of psychological results. (C) 2020 Societe Francaise de Psychologie. Published by Elsevier Masson SAS. All rights reserved.",,"[Lantian, A.] Univ Paris Nanterre, UPL, Lab Parisien Psychol Sociale, 200 Ave Republ, F-92100 Nanterre, France; [Lantian, A.] Univ Paris Nanterre, UPL, Lab Parisien Psychol Sociale, 200 Ave Republ, F-92100 Nanterre, France",,,,,,,,0,,,,,,,"Psychology, Multidisciplinary",WOS:000625307300005,
J,"Yu, Qinggang; Kitayama, Shinobu",,,,,,,,Does Facial Action Modulate Neural Responses of Emotion? An Examination With the Late Positive Potential (LPP),,,,,,,,EMOTION,,,,21,2,,,442,446,,10.1037/emo0000717,,,Mar-21,2021,"The facial feedback hypothesis suggests that emotional facial action causally modulates the subjective experience of emotion. Notably, some proposed that facial action modulates emotional experience because it directly modulates neural responses of emotion. At present, the robustness of the facial feedback hypothesis has been debated. Moreover, little evidence exists for the direct modulation of neural responses by facial action. To fill these gaps. we tested whether facial action systematically modulates a well-validated electrocortical signature of emotional arousal, the late positive potential. Fifty-seven young adults rated the pleasantness of 180 pictures from the international affective picture system while holding chopsticks differently in their mouth to mimic either smiling or frowning expression. Their electroencephalogram was monitored. It was found that the frowning expression increased the late positive potential for negative pictures. In contrast, the smiling expression had no significant effect. Pleasantness ratings were also consistent with the facial feedback hypothesis. We concluded that the facial feedback effect is weak but robust. Critically, we presented the first evidence that facial action modulates an emotion-related neural response.",,"[Yu, Qinggang; Kitayama, Shinobu] Univ Michigan, Dept Psychol, 530 Church St, Ann Arbor, MI 48109 USA; [Yu, Qinggang] Univ Michigan, Dept Psychol, 530 Church St, Ann Arbor, MI 48109 USA",,,,,,,,0,,,,,,,"Psychology, Experimental",WOS:000623075200017,
J,"Adolph, Dirk; Tschacher, Wolfgang; Niemeyer, Helen; Michalak, Johannes",,,,,,,,Gait Patterns and Mood in Everyday Life: A Comparison Between Depressed Patients and Non-depressed Controls,,,,,,,,COGNITIVE THERAPY AND RESEARCH,,,,,,,,,,,10.1007/s10608-021-10215-7,,,,2021,"Background Previous laboratory findings suggest deviant gait characteristics in depressed individuals (i.e., reduced walking speed and vertical up-and-down movements, larger lateral swaying movements, slumped posture). However, since most studies to date assessed gait in the laboratory, it is largely an open question whether this association also holds in more naturalistic, everyday life settings. Thus, within the current study we (1) aimed at replicating these results in an everyday life and (2) investigated whether gait characteristics could predict change in current mood. Methods We recruited a sample of patients (n = 35) suffering from major depressive disorder and a sample of age and gender matched non-depressed controls (n = 36). During a 2-day assessment we continuously recorded gait patterns, general movement intensity and repetitively assessed the participant's current mood. Results We replicated previous laboratory results and found that patients as compared to non-depressed controls showed reduced walking speed and reduced vertical up-and-down movements, as well as a slumped posture during everyday life episodes of walking. Moreover, independent of clinical diagnoses, higher walking speed, and more vertical up-and-down movements significantly predicted more subsequent positive mood, while changes in mood did not predict subsequent changes in gait patterns. Conclusion In sum, our results support expectations that embodiment (i.e., the relationship between bodily expression of emotion and emotion processing itself) in depression is also observable in naturalistic settings, and that depression is bodily manifested in the way people walk. The data further suggest that motor displays affect mood in everyday life.",,"[Adolph, Dirk] Ruhr Univ Bochum, Mental Hlth Res & Treatment Ctr, Massenbergstr 9-13, D-44787 Bochum, Germany; [Tschacher, Wolfgang] Univ Bern, Univ Hosp Psychiat & Psychotherapy, Bern, Switzerland; [Niemeyer, Helen] Freie Unversitat Berlin, Dept Educ & Psychol, Berlin, Germany; [Michalak, Johannes] Witten Herdecke Univ, Dept Psychol & Psychotherapy, Witten, Germany; [Adolph, Dirk] Ruhr Univ Bochum, Mental Hlth Res & Treatment Ctr, Massenbergstr 9-13, D-44787 Bochum, Germany",,,,,,,,0,,,,,,,"Psychology, Clinical",WOS:000621728000001,
J,"Genschow, Oliver; Westfal, Mareike; Crusius, Jan; Bartosch, Leon; Feikes, Kyra Isabel; Pallasch, Nina; Wozniak, Mirella",,,,,,,,Does Social Psychology Persist Over Half a Century? A Direct Replication of Cialdini et al.'s (1975) Classic Door-in-the-Face Technique,,,,,,,,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,,,,120,2,,,E1,E7,,10.1037/pspa0000261,,,Feb-21,2021,"Many failed replications in social psychology have cast doubt on the validity of the field. Most of these replication attempts have focused on findings published from the 1990s on, ignoring a large body of older literature. As some scholars suggest that social psychological findings and theories are limited to a particular time, place, and population, we sought to test whether a classical social psychological finding that was published nearly half a century ago can be successfully replicated in another country on another continent. To this end, we directly replicated Cialdini et al.'s (1975) door-in-the-face (DITF) technique according to which people's likelihood to comply with a target request increases after having turned down a larger request. Thereby, we put the reciprocal concessions theory-the original process explanation of the DITF technique-to a critical test. Overall, compliance rates in our replication were similarly high as those Cialdini et al. (1975) found 45 years ago. That is, participants were more likely to comply with a target request after turning down an extreme request than participants who were exposed to the target request only or to a similarly small request before being exposed to the target request. These findings support the idea that reciprocity norms play a crucial role in DITF strategies. Moreover, the results suggest that at least some social psychological findings can transcend a particular time, place, and population. Further theoretical implications are discussed.",,"[Genschow, Oliver; Westfal, Mareike; Crusius, Jan; Bartosch, Leon; Feikes, Kyra Isabel; Pallasch, Nina; Wozniak, Mirella] Univ Cologne, Social Cognit Ctr Cologne, Richard Strauss St 2, D-50931 Cologne, Germany; [Genschow, Oliver] Univ Cologne, Social Cognit Ctr Cologne, Richard Strauss St 2, D-50931 Cologne, Germany",,,,,,,,1,,,,,,,"Psychology, Social",WOS:000618239900001,
J,"Carpenter, Thomas P.; Law, Keyne C.",,,,,,,,Optimizing the scientific study of suicide with open and transparent research practices,,,,,,,,SUICIDE AND LIFE-THREATENING BEHAVIOR,,,,51,1,,,36,46,,10.1111/sltb.12665,,,Feb-21,2021,"Suicide research is vitally important, yet-like psychology research more broadly-faces methodological challenges. In recent years, researchers have raised concerns about standard practices in psychological research, concerns that apply to suicide research and raise questions about its robustness and validity. In the present paper, we review these concerns and the corresponding solutions put forth by the ""open science"" community. These include using open science platforms, pre-registering studies, ensuring reproducible analyses, using high-powered studies, ensuring open access to research materials and products, and conducting replication studies. We build upon existing guides, address specific obstacles faced by suicide researchers, and offer a clear set of recommended practices for suicide researchers. In particular, we consider challenges that suicide researchers may face in seeking to adopt ""open science"" practices (e.g., prioritizing large samples) and suggest possible strategies that the field may use in order to ensure robust and transparent research, despite these challenges.",,"[Carpenter, Thomas P.; Law, Keyne C.] Seattle Pacific Univ, Seattle, WA 98119 USA; [Law, Keyne C.] Seattle Pacific Univ, Dept Clin Psychol, 3307 3rd Ave West, Seattle, WA 98119 USA",,,,,,,,1,,,,,,,"Psychiatry; Psychology, Multidisciplinary",WOS:000621079800005,
J,"Goupil, Louise; Johansson, Petter; Hall, Lars; Aucouturier, Jean-Julien",,,,,,,,Vocal signals only impact speakers' own emotions when they are self-attributed,,,,,,,,CONSCIOUSNESS AND COGNITION,,,,88,,,,,,103072,10.1016/j.concog.2020.103072,,,Feb-21,2021,"Emotions are often accompanied by vocalizations whose acoustic features provide information about the physiological state of the speaker. Here, we ask if perceiving these affective signals in one's own voice has an impact on one's own emotional state, and if it is necessary to identify these signals as self-originated for the emotional effect to occur. Participants had to deliberate out loud about how they would feel in various familiar emotional scenarios, while we covertly manipulated their voices in order to make them sound happy or sad. Perceiving the artificial affective signals in their own voice altered participants' judgements about how they would feel in these situations. Crucially, this effect disappeared when participants detected the vocal manipulation, either explicitly or implicitly. The original valence of the scenarios also modulated the vocal feedback effect. These results highlight the role of the exteroception of self-attributed affective signals in the emergence of emotional feelings.",,"[Goupil, Louise; Aucouturier, Jean-Julien] STMS UMR 9912 CNRS IRCAM SU, Paris, France; [Goupil, Louise] Univ East London, London, England; [Johansson, Petter; Hall, Lars] Lund Univ, Lund Univ Cognit Sci, Lund, Sweden; [Goupil, Louise] Univ East London, Sch Psychol, London, England",,,,,,,,0,,,,,,,"Psychology, Experimental",WOS:000618075900006,
J,"Godinho, Sandra; Garrido, Margarida V.",,,,,,,,The in-out effect: examining the role of perceptual fluency in the preference for words with inward-wandering consonantal articulation,,,,,,,,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,,,,85,1,,,112,120,,10.1007/s00426-019-01238-7,,,Feb-21,2021,"Words whose consonantal articulation spots wander inward, simulating ingestion movements, are preferred to words featuring the opposite consonantal articulation direction, that is, resembling expectoration movements. The underlying mechanism of this so-called in-out effect is far from settled. Contrary to the original explanation proposing an oral approach-avoidance mechanism, recent evidence has been used to support an oral motor-fluency mechanism, suggesting that inward words are preferred because they may be more common and/or easier to pronounce. Across six experiments (n = 1123), we examined the impact of different fluency sources in the emergence of the in-out effect. The preference for inward-wandering words persisted both with classical font type and figure-ground contrast fluency manipulations, and no systematic additive effects were observed. The in-out effect was also replicated for the first time with a between-participant design. These results suggest that the in-out effect may be permeable to fluency manipulations, but it is not dependent upon a plain fluency mechanism.",,"[Godinho, Sandra; Garrido, Margarida V.] Inst Univ Lisboa, CIS ISCTE, Ave Forcas Armadas, P-1649026 Lisbon, Portugal; [Godinho, Sandra] Inst Univ Lisboa, CIS ISCTE, Ave Forcas Armadas, P-1649026 Lisbon, Portugal",,,,,,,,3,,,,,,,"Psychology, Experimental",WOS:000613854100010,
