PT,disambiguate,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,PM,case,pubYear
J,NA,"Andre, Nathalie; Audiffren, Michel; Baumeister, Roy F.",NA,NA,NA,NA,NA,NA,NA,An Integrative Model of Effortful Control,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN SYSTEMS NEUROSCIENCE,NA,NA,NA,13,NA,NA,NA,NA,NA,79,10.3389/fnsys.2019.00079,NA,NA,DEC 20 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000505495200001,NA,baumeister,2019
J,NA,Lu Hong-Xu; Zhou Fan; Wu Ting; Yan Jin; Shao Yan; Liu Yan-Bin,NA,NA,NA,NA,NA,NA,NA,The divergent effects of work stress on constructive voice and defensive voice: A cross-level of moderated mediation model,NA,NA,NA,NA,NA,NA,NA,ACTA PSYCHOLOGICA SINICA,NA,NA,NA,51,12,NA,NA,1375,1385,NA,10.3724/SP.J.1041.2019.01375,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000551496500008,NA,baumeister,2019
J,NA,"Kerry, Nicholas; Loria, Riley N.; Murray, Damian R.",NA,NA,NA,NA,NA,NA,NA,Gluttons for Punishment? Experimentally Induced Hunger Unexpectedly Reduces Harshness of Suggested Punishments,NA,NA,NA,NA,NA,NA,NA,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,NA,NA,NA,5,4,NA,NA,352,370,NA,10.1007/s40750-019-00121-4,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000514662300003,NA,baumeister,2019
J,NA,"Tao, Chen-Wei (Willie); Jang, Jichul; Kwon, Junehee",NA,NA,NA,NA,NA,NA,NA,Understanding the role of emotional intelligence and work status in service sabotage: Developing and testing a three-way interaction model,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,NA,NA,NA,41,NA,NA,NA,51,59,NA,10.1016/j.jhtm.2019.09.005,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000510156300006,NA,baumeister,2019
J,NA,"Lawless, W. F.",NA,NA,NA,NA,NA,NA,NA,"The Interdependence of Autonomous Human-Machine Teams: The Entropy of Teams, But Not Individuals, Advances Science",NA,NA,NA,NA,NA,NA,NA,ENTROPY,NA,NA,NA,21,12,NA,NA,NA,NA,1195,10.3390/e21121195,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000507375900063,NA,baumeister,2019
J,NA,"Alos-Ferrer, Carlos; Ritschel, Alexander; Garcia-Segarra, Jaume; Achtziger, Anja",NA,NA,NA,NA,NA,NA,NA,Habituation does not rescue depletion: Two tests of the ego-depletion effect,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF ECONOMIC PSYCHOLOGY,NA,NA,NA,75,NA,NA,NA,NA,NA,UNSP 102122,10.1016/j.joep.2018.11.001,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000503325400003,NA,baumeister,2019
J,NA,"Szabo, Katalin; Piko, Bettina F.; Fitzpatrick, Kevin M.",NA,NA,NA,NA,NA,NA,NA,"Adolescents' attitudes towards healthy eating: The role of self-control, motives and self-risk perception",NA,NA,NA,NA,NA,NA,NA,APPETITE,NA,NA,NA,143,NA,NA,NA,NA,NA,104416,10.1016/j.appet.2019.104416,NA,NA,DEC 1 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000494970500001,NA,baumeister,2019
J,NA,"Martin-Cuellar, Ashley; Lardier, David T., Jr.; Atencio, David J.; Kelly, Ryan J.; Montanez, Marcel",NA,NA,NA,NA,NA,NA,NA,Vitality as a Moderator of Clinician History of Trauma and Compassion Fatigue,NA,NA,NA,NA,NA,NA,NA,CONTEMPORARY FAMILY THERAPY,NA,NA,NA,41,4,NA,NA,408,419,NA,10.1007/s10591-019-09508-7,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000490947000009,NA,baumeister,2019
J,NA,"Venema, Tina A. G.; Kroese, Floor M.; De Vet, Emely; De Ridder, Denise T. D.",NA,NA,NA,NA,NA,NA,NA,The One that I Want: Strong personal preferences render the center-stage nudge redundant,NA,NA,NA,NA,NA,NA,NA,FOOD QUALITY AND PREFERENCE,NA,NA,NA,78,NA,NA,NA,NA,NA,UNSP 103744,10.1016/j.foodqual.2019.103744,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,WOS:000484875100026,NA,baumeister,2019
J,NA,"Federman, Jessica E.",NA,NA,NA,NA,NA,NA,NA,A process account of the relationship between informal learning and expressions of anger and anxiety,NA,NA,NA,NA,NA,NA,NA,EUROPEAN JOURNAL OF TRAINING AND DEVELOPMENT,NA,NA,NA,44,3-Feb,NA,NA,237,257,NA,10.1108/EJTD-09-2019-0155,NA,NA,NOV 18 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000527351300001,NA,baumeister,2019
