firstCoder,secondCoder,doi,authors,pubYear,excluded,exclusionReason,articleType,citesReplication,citationClassificationOriginal,citationClassificationAgreed,counterArguments,evidenceCounter,evidenceVerbatim,methodsCounter,methodsVerbatim,expertiseCounter,expertiseVerbatim,UT,case,timePeriod
DS,TH,10.1007/s00426-014-0558-4,"Sellaro, Roberta; Hommel, Bernhard; Manai, Meriem; Colzato, Lorenza S.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000349768400011,baumeister,pre
DS,TH,10.1523/JNEUROSCI.4567-14.2015,"Bernardi, Giulio; Siclari, Francesca; Yu, Xiaoqian; Zennig, Corinna; Bellesi, Michele; Ricciardi, Emiliano; Cirelli, Chiara; Ghilardi, Maria Felice; Pietrini, Pietro; Tononi, Giulio",2015,FALSE,NA,Empirical data - laboratory study,FALSE,equivocal,equivocal,NA,NA,NA,NA,NA,NA,NA,WOS:000352202300002,baumeister,pre
DS,TH,10.1002/bdm.1830,"Pang, Bo; Otto, A. Ross; Worthy, Darrell A.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000351535700008,baumeister,pre
DS,TH,10.1016/j.beproc.2014.09.030,"Miller, Holly C.; Pattison, Kristina F.; Laude, Jennifer R.; Zentall, Thomas R.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000349198500004,baumeister,pre
DS,TH,10.1037/a0038082,"Trougakos, John P.; Beal, Daniel J.; Cheng, Bonnie Hayden; Hideg, Ivona; Zweig, David",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000347729700015,baumeister,pre
DS,TH,10.1108/S1479-355520150000013003,"Dixon, Aurora J.; Chang, Chu-Hsiang (Daisy); Johnson, Russell E.",2015,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000361324700004,baumeister,pre
DS,TH,10.1016/j.jvb.2015.03.005,"Rivkin, W.; Diestel, S.; Schmidt, K. -H.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,equivocal,NA,NA,NA,NA,NA,NA,NA,WOS:000354594300018,baumeister,pre
DS,TH,10.1037/gdn0000033,"Bradley, Bret H.; Anderson, Heather J.; Baur, John E.; Klotz, Anthony C.",2015,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000369411100003,baumeister,pre
DS,TH,10.1080/01973533.2014.996225,"Osgood, Jeffrey M.; Muraven, Mark",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,equivocal,NA,NA,NA,NA,NA,NA,NA,WOS:000349454600007,baumeister,pre
DS,TH,10.1093/scan/nsu027,"Parvaz, Muhammad A.; Moeller, Scott J.; Goldstein, Rita Z.; Proudfit, Greg H.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000350108600012,baumeister,pre
