PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,C1,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,WC,UT,PM,case,pubYear
J,"Altmejd, Adam; Dreber, Anna; Forsell, Eskil; Huber, Juergen; Imai, Taisuke; Johannesson, Magnus; Kirchler, Michael; Nave, Gideon; Camerer, Colin",NA,NA,NA,NA,NA,NA,NA,Predicting the replicability of social science lab experiments,NA,NA,NA,NA,NA,NA,NA,PLOS ONE,NA,NA,NA,14,12,NA,NA,NA,NA,e0225826,10.1371/journal.pone.0225826,NA,NA,DEC 5 2019,2019,"We measure how accurately replication of experimental results can be predicted by black-box statistical models. With data from four large-scale replication projects in experimental psychology and economics, and techniques from machine learning, we train predictive models and study which variables drive predictable replication. The models predicts binary replication with a cross-validated accuracy rate of 70% (AUC of 0.77) and estimates of relative effect sizes with a Spearman rho of 0.38. The accuracy level is similar to market-aggregated beliefs of peer scientists [1, 2]. The predictive power is validated in a pre-registered out of sample test of the outcome of [3], where 71% (AUC of 0.73) of replications are predicted correctly and effect size correlations amount to rho = 0.25. Basic features such as the sample and effect sizes in original papers, and whether reported effects are single-variable main effects or two-variable interactions, are predictive of successful replication. The models presented in this paper are simple tools to produce cheap, prognostic replicability metrics. These models could be useful in institutionalizing the process of evaluation of new findings and guiding resources to those direct replications that are likely to be most informative.",NA,"[Altmejd, Adam; Dreber, Anna; Forsell, Eskil; Johannesson, Magnus] Stockholm Sch Econ, Dept Econ, Stockholm, Sweden; [Altmejd, Adam] Stockholm Univ, SOFI, Stockholm, Sweden; [Dreber, Anna; Huber, Juergen; Kirchler, Michael] Univ Innsbruck, Innsbruck, Austria; [Imai, Taisuke] Ludwig Maximilians Univ Munchen, Munich, Germany; [Nave, Gideon] Univ Penn, Wharton Sch, Philadelphia, PA 19104 USA; [Camerer, Colin] CALTECH, Pasadena, CA 91125 USA; [Altmejd, Adam] Stockholm Sch Econ, Dept Econ, Stockholm, Sweden; [Altmejd, Adam] Stockholm Univ, SOFI, Stockholm, Sweden",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,Multidisciplinary Sciences,WOS:000534009700063,NA,klein,2019
J,"Norris, Emma; O'Connor, Daryl B.",NA,NA,NA,NA,NA,NA,NA,Science as behaviour: Using a behaviour change approach to increase uptake of open science,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGY & HEALTH,NA,NA,NA,34,12,NA,NA,1397,1406,NA,10.1080/08870446.2019.1679373,NA,NA,DEC 2 2019,2019,NA,NA,"[Norris, Emma] UCL, Ctr Behav Change, London WC1E 6BT, England; [O'Connor, Daryl B.] Univ Leeds, Sch Psychol, Leeds, W Yorkshire, England; [Norris, Emma] UCL, Ctr Behav Change, London WC1E 6BT, England",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"Public, Environmental & Occupational Health; Psychology, Multidisciplinary",WOS:000505232700001,NA,klein,2019
J,"Ly, Alexander; Etz, Alexander; Marsman, Maarten; Wagenmakers, Eric-Jan",NA,NA,NA,NA,NA,NA,NA,Replication Bayes factors from evidence updating,NA,NA,NA,NA,NA,NA,NA,BEHAVIOR RESEARCH METHODS,NA,NA,NA,51,6,NA,NA,2498,2508,NA,10.3758/s13428-018-1092-x,NA,NA,Dec-19,2019,"We describe a general method that allows experimenters to quantify the evidence from the data of a direct replication attempt given data already acquired from an original study. These so-called replication Bayes factors are a reconceptualization of the ones introduced by Verhagen and Wagenmakers (Journal of Experimental Psychology: General, 143(4), 1457-1475 2014) for the common t test. This reconceptualization is computationally simpler and generalizes easily to most common experimental designs for which Bayes factors are available.",NA,"[Ly, Alexander; Marsman, Maarten; Wagenmakers, Eric-Jan] Univ Amsterdam, Psychol Methods Dept, Postbus 15906, NL-1001 NK Amsterdam, Netherlands; [Ly, Alexander] Ctr Wiskunde & Informat, Machine Learning Grp, Amsterdam, Netherlands; [Etz, Alexander] Univ Calif Irvine, Dept Cognit Sci, Irvine, CA 92717 USA; [Ly, Alexander] Univ Amsterdam, Psychol Methods Dept, Postbus 15906, NL-1001 NK Amsterdam, Netherlands; [Ly, Alexander] Ctr Wiskunde & Informat, Machine Learning Grp, Amsterdam, Netherlands",NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,"Psychology, Mathematical; Psychology, Experimental",WOS:000515129700006,NA,klein,2019
J,"Kerry, Nicholas; Loria, Riley N.; Murray, Damian R.",NA,NA,NA,NA,NA,NA,NA,Gluttons for Punishment? Experimentally Induced Hunger Unexpectedly Reduces Harshness of Suggested Punishments,NA,NA,NA,NA,NA,NA,NA,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,NA,NA,NA,5,4,NA,NA,352,370,NA,10.1007/s40750-019-00121-4,NA,NA,Dec-19,2019,"Objectives Although many societies endorse objectivity in moral judgment and punishment, humans are frequently influenced by deep-rooted biases, such that superficially irrelevant factors can influence moral judgment and decision making. Hunger is a fundamental source of motivation and is known to redirect behavior in other domains. The present research aims to test whether hunger influences moral judgments and punishments. Method We first report results from four pilot studies (n = 1354) which, taken together, imply a positive relationship between self-reported hunger and harsher moral judgment. The main preregistered study then examined the effect of experimentally induced hunger on judicial sentencing and moral judgments. Hunger was manipulated by asking 246 undergraduates to not eat for at least four hours before the study. Participants in the Satiated condition received a snack before taking questionnaires, while those in the Hungry condition were given the same snack after responding to the questionnaires. Results Contrary to our pre-registered predictions, participants in the Hungry condition recommended significantly more lenient punishments, while the manipulation had no effect on moral judgment. Conclusions Overall, the results suggest caution regarding previous findings indicating that hungry people punish more, and offer tentative evidence of the opposite effect under some conditions. We discuss possible reasons for the apparent inconsistencies between studies.",NA,"[Kerry, Nicholas; Loria, Riley N.; Murray, Damian R.] Tulane Univ, Dept Psychol, 2007 Percival Stern Hall, New Orleans, LA 70118 USA; [Kerry, Nicholas] Tulane Univ, Dept Psychol, 2007 Percival Stern Hall, New Orleans, LA 70118 USA",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Psychology, Biological",WOS:000514662300003,NA,klein,2019
J,"Olsen, Jerome; Mosen, Johanna; Voracek, Martin; Kirchler, Erich",NA,NA,NA,NA,NA,NA,NA,Research practices and statistical reporting quality in 250 economic psychology master's theses: a meta-research investigation,NA,NA,NA,NA,NA,NA,NA,ROYAL SOCIETY OPEN SCIENCE,NA,NA,NA,6,12,NA,NA,NA,NA,190738,10.1098/rsos.190738,NA,NA,Dec-19,2019,"The replicability of research findings has recently been disputed across multiple scientific disciplines. In constructive reaction, the research culture in psychology is facing fundamental changes, but investigations of research practices that led to these improvements have almost exclusively focused on academic researchers. By contrast, we investigated the statistical reporting quality and selected indicators of questionable research practices (QRPs) in psychology students' master's theses. In a total of 250 theses, we investigated utilization and magnitude of standardized effect sizes, along with statistical power, the consistency and completeness of reported results, and possible indications of p-hacking and further testing. Effect sizes were reported for 36% of focal tests (median r = 0.19), and only a single formal power analysis was reported for sample size determination (median observed power 1 - beta = 0.67). Statcheck revealed inconsistent p-values in 18% of cases, while 2% led to decision errors. There were no clear indications of p-hacking or further testing. We discuss our findings in the light of promoting open science standards in teaching and student supervision.",NA,"[Olsen, Jerome; Mosen, Johanna; Kirchler, Erich] Univ Vienna, Fac Psychol, Dept Appl Psychol Work Educ & Econ, Univ Str 7, A-1010 Vienna, Austria; [Voracek, Martin] Univ Vienna, Fac Psychol, Dept Basic Psychol Res & Res Methods, Liebiggasse 5, A-1010 Vienna, Austria; [Olsen, Jerome] Univ Vienna, Fac Psychol, Dept Appl Psychol Work Educ & Econ, Univ Str 7, A-1010 Vienna, Austria",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Multidisciplinary Sciences,WOS:000510010700007,NA,klein,2019
J,"Bruner, Justin P.; Holman, Bennett",NA,NA,NA,NA,NA,NA,NA,"Self-correction in science: Meta-analysis, bias and social structure",NA,NA,NA,NA,NA,NA,NA,STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,NA,NA,NA,78,NA,NA,NA,93,97,NA,10.1016/j.shpsa.2019.02.001,NA,NA,Dec-19,2019,NA,NA,"[Bruner, Justin P.] Univ Groningen, Dept Theoret Philosophy, Groningen, Netherlands; [Bruner, Justin P.] Univ Groningen, Ctr Philosophy Polit & Econ, Groningen, Netherlands; [Holman, Bennett] Yonsei Univ, Underwood Int Coll, Seoul, South Korea; [Holman, Bennett] Yonsei Univ, Underwood Int Coll, 85 Songdogwahak Ro, Incheon 21983, South Korea",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,History & Philosophy Of Science,WOS:000503318700011,NA,klein,2019
J,"Forsell, Eskil; Viganola, Domenico; Pfeiffer, Thomas; Almenberg, Johan; Wilson, Brad; Chen, Yiling; Nosek, Brian A.; Johannesson, Magnus; Dreber, Anna",NA,NA,NA,NA,NA,NA,NA,Predicting replication outcomes in the Many Labs 2 study,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF ECONOMIC PSYCHOLOGY,NA,NA,NA,75,NA,NA,NA,NA,NA,102117,10.1016/j.joep.2018.10.009,NA,NA,Dec-19,2019,"Understanding and improving reproducibility is crucial for scientific progress. Prediction markets and related methods of eliciting peer beliefs are promising tools to predict replication outcomes. We invited researchers in the field of psychology to judge the replicability of 24 studies replicated in the large scale Many Labs 2 project. We elicited peer beliefs in prediction markets and surveys about two replication success metrics: the probability that the replication yields a statistically significant effect in the original direction (p < 0.001), and the relative effect size of the replication. The prediction markets correctly predicted 75% of the replication outcomes, and were highly correlated with the replication outcomes. Survey beliefs were also significantly correlated with replication outcomes, but had larger prediction errors. The prediction markets for relative effect sizes attracted little trading and thus did not work well. The survey beliefs about relative effect sizes performed better and were significantly correlated with observed relative effect sizes. The results suggest that replication outcomes can be predicted and that the elicitation of peer beliefs can increase our knowledge about scientific reproducibility and the dynamics of hypothesis testing.",NA,"[Forsell, Eskil] Spotify Sweden AB, Birger Jarlsgatan 61, SE-11356 Stockholm, Sweden; [Viganola, Domenico; Johannesson, Magnus; Dreber, Anna] Stockholm Sch Econ, Dept Econ, Box 6501, SE-11383 Stockholm, Sweden; [Pfeiffer, Thomas] New Zealand Inst Adv Study, North Shore Mail Ctr, Private Bag 102904, Auckland 0745, New Zealand; [Almenberg, Johan] Natl Inst Econ Res, Kungsgatan 12-14, Stockholm, Sweden; [Wilson, Brad] Consensus Point, 2323 21st Ave South,Suite 500, Nashville, TN 37212 USA; [Chen, Yiling] Harvard Univ, John A Paulson Sch Engn & Appl Sci, Cambridge, MA 02138 USA; [Nosek, Brian A.] Univ Virginia, Dept Psychol, Charlottesville, VA 22904 USA; [Nosek, Brian A.] Ctr Open Sci, Charlottesville, VA 22903 USA; [Dreber, Anna] Univ Innsbruck, Dept Econ, Innrain 52, A-6020 Innsbruck, Austria; [Dreber, Anna] Stockholm Sch Econ, Dept Econ, Box 6501, SE-11383 Stockholm, Sweden",NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,"Economics; Psychology, Multidisciplinary",WOS:000503325400013,NA,klein,2019
J,"Sah, Sunita",NA,NA,NA,NA,NA,NA,NA,Understanding the (perverse) effects of disclosing conflicts of interest: A direct replication study,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF ECONOMIC PSYCHOLOGY,NA,NA,NA,75,NA,NA,NA,NA,NA,102118,10.1016/j.joep.2018.10.010,NA,NA,Dec-19,2019,"Advisors are often subject to conflicts of interest-a potential clash between their professional responsibilities and personal interests. Such conflicts can increase bias in advice. Although disclosure is frequently proposed to manage conflicts of interest, it can have unintended consequences on both advisees and advisors. In seminal work, Cain, Loewenstein, and Moore (2005, 2011) demonstrated that advisors give more biased advice with disclosure than without, to the detriment of advisees' financial payoffs. However, recent experiments by Sah (2018), have revealed that in certain contexts, advisors give less biased advice with disclosure relative to nondisclosure. To further understand the contradictory findings and increase confidence in the original results, I conducted a direct replication of the main study from Cain et al. (2011) on advisors (with slight changes for advisees). I replicated the original finding that advisors give more biased advice with conflict-of-interest disclosure (vs. without) when giving recommendations on the sale price of houses to advisees who have less information. Like Cain et al., I found little or no support for effects on advisees, such as advisees giving higher estimates, being less accurate, or discounting more, with conflict-of-interest disclosure relative to nondisclosure. However, a meta-analysis revealed that across the original study and this replication, advisees were financially worse off with disclosure than without. I discuss when conflict-of-interest disclosure can lead advisors to give more or less biased advice.",NA,"[Sah, Sunita] Cornell Univ, Johnson Grad Sch Management, Sage Hall, Ithaca, NY 14853 USA; [Sah, Sunita] Cornell Univ, Johnson Grad Sch Management, Sage Hall, Ithaca, NY 14853 USA",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"Economics; Psychology, Multidisciplinary",WOS:000503325400009,NA,klein,2019
J,"Shah, Anuj K.; Mullainathan, Sendhil; Shafir, Eldar",NA,NA,NA,NA,NA,NA,NA,"An exercise in self-replication: Replicating Shah, Mullainathan, and Shafir (2012)",NA,NA,NA,NA,NA,NA,NA,JOURNAL OF ECONOMIC PSYCHOLOGY,NA,NA,NA,75,NA,NA,NA,NA,NA,102127,10.1016/j.joep.2018.12.001,NA,NA,Dec-19,2019,"Shah et al. (2012) examined how different forms of scarcity affect attention and borrowing behavior. Results from a series of lab experiments suggested that (1) various forms of scarcity have similar effects on cognition and behavior, (2) scarcity leads to attentional shifts and greater focus (3) scarcity can lead people to over-borrow, and (4) scarcity can lead to cognitive fatigue. Camerer (2018) recently conducted replications of studies from a set of social science papers, and failed to replicate the result on cognitive fatigue from Shah et al. (2012). In this paper, we present high-powered replications of all studies from Shah et al. (2012). We describe which results appear more robust and which results appear to be less robust. We conclude with some thoughts on the value of self-replications.",NA,"[Shah, Anuj K.; Mullainathan, Sendhil] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA; [Shafir, Eldar] Princeton Univ, Princeton, NJ 08544 USA; [Shah, Anuj K.] 5807 South Woodlawn Ave, Chicago, IL 60637 USA",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"Economics; Psychology, Multidisciplinary",WOS:000503325400012,NA,klein,2019
J,"McLamore, Quinnehtukqut; Adelman, Levi; Leidner, Bernhard",NA,NA,NA,NA,NA,NA,NA,Challenges to Traditional Narratives of Intractable Conflict Decrease Ingroup Glorification,NA,NA,NA,NA,NA,NA,NA,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,NA,NA,NA,45,12,NA,NA,1702,1716,NA,10.1177/0146167219841638,NA,NA,Dec-19,2019,"Conflict narratives are cornerstones of group identity, but often facilitate violence by framing the group's actions in ways that foster defensive forms of group identification (i.e., glorification). Three experiments tested whether alternative narratives inclusive of the ingroup's and the adversarial group's suffering can reduce glorification. Israeli Jews (Study 1) and Americans (Study 2) reported less glorification after reading inclusive narratives rather than narratives that dismiss the outgroup's suffering. Study 3 found that through reducing glorification, inclusive narratives indirectly weakened support for retributive justice and militaristic policies and strengthened support for reconciliation. These effects were specific to people high in both (preexisting) glorification and attachment-people identified by prior research as the strongest supporters of violent approaches to conflict. These findings suggest that alternative narratives can reduce glorification by challenging the myopic focus of traditional conflict narratives on ingroup victimization, helping societies move beyond intractable conflict toward lasting peace.",NA,"[McLamore, Quinnehtukqut; Adelman, Levi; Leidner, Bernhard] Univ Massachusetts Amherst, Amherst, MA USA; [Adelman, Levi] Univ Utrecht, Utrecht, Netherlands; [McLamore, Quinnehtukqut] Univ Massachusetts, Dept Psychol & Brain Sci, 135 Hicks Way, Amherst, MA 01003 USA",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"Psychology, Social",WOS:000501470600005,NA,klein,2019
