UT,DI,AU,PY
WOS:000429585900012,10.1002/smi.2792,"Grawitch, Matthew J.; Werth, Paul M.; Palmer, Sarah N.; Erb, Kaitlyn R.; Lavigne, Kristi N.",2018
WOS:000404706800006,10.1016/j.jbusvent.2016.12.001,"Uy, Marilyn A.; Sun, Shuhua; Foo, Maw-Der",2017
WOS:000405696100005,10.1093/scan/nsx012,"Yanagisawa, Kuniaki; Kashima, Emiko S.; Moriya, Hiroki; Masui, Keita; Furutani, Kaichiro; Yoshida, Hiroshi; Ura, Mitsuhiro; Nomura, Michio",2017
WOS:000482121300003,10.1093/jcr/ucy055,"Wiggin, Kyra L.; Reimann, Martin; Jain, Shailendra P.",2019
WOS:000431600100030,10.1017/S0140525X17001935,"Doris, John M.",2018
WOS:000485596100001,10.1080/07448481.2019.1656636,"le Roux, Daniel B.; Parry, Douglas A.",2019
WOS:000486090100003,10.1080/02678373.2018.1521884,"Ciampa, Valeria; Steffens, Niklas K.; Schuh, Sebastian C.; Fraccaroli, Franco; van Dick, Rolf",2019
WOS:000432508900015,10.1016/j.jesp.2018.01.007,"Welsh, David T.; Mai, Ke Michael; Ellis, Aleksander P. J.; Christian, Michael S.",2018
WOS:000479094000004,10.1080/10410236.2018.1461585,"Afifi, Tamara; Granger, Douglas; Ersig, Anne; Tsalikian, Eva; Shahnazi, Ariana; Davis, Sharde; Harrison, Kathryn; Callejas, Michelle Acevedo; Scranton, Audrey",2019
WOS:000405972700047,10.1016/j.appet.2017.05.020,"Cheung, Tracy T. L.; Kroese, Floor M.; Fennis, Bob M.; De Ridder, Denise T. D.",2017
WOS:000467969400003,10.1111/phil.12217,"Stapleford, Scott; Wentzell, Alexander",2019
WOS:000447561500009,10.1177/1938965518762842,"Shin, Joongwon; Mattila, Anna S.",2018
WOS:000402321400001,10.3389/fpsyg.2017.00855,"Imbir, Kamil K.",2017
WOS:000461883600004,10.1002/ejsp.2499,"Moynihan, Andrew B.; Igou, Eric R.; van Tilburg, Wijnand A. P.",2019
WOS:000474773200002,10.1111/jasp.12591,"Goldschmied, Nadav; Vira, Damien",2019
WOS:000475403800002,10.1080/15298868.2018.1478324,"Baumeister, Roy F.; Wright, Bradley R. E.; Carreon, David",2019
WOS:000470674400002,10.1080/00223980.2019.1566685,"Dahm, Patricia C.; Kim, Yeonka (Sophia); Glomb, Theresa M.",2019
WOS:000402047900001,10.1037/apl0000204,"Barclay, Laurie J.; Bashshur, Michael R.; Fortin, Marion",2017
WOS:000393812800009,10.1080/00224499.2016.1145182,"Rodrigues, David; Lopes, Diniz; Pereira, Marco",2017
WOS:000431141700006,10.1509/jppm.16.157,"Cook, Laurel Aynne; Sadeghein, Raika",2018
WOS:000518823400013,NA,"Christensen, G.; Freese, J.; Miguel, E.",2019
