PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,PM
J,"Peiffer, Caryn",,,,,,,,Message Received? Experimental Findings on How Messages about Corruption Shape Perceptions,,,,,,,,BRITISH JOURNAL OF POLITICAL SCIENCE,,,,50,3,,,1207,1215,,10.1017/S0007123418000108,,,Jul-20,2020,,,,,,,,,,1,,,,,,,WOS:000543208500022,
J,"Kariryaa, Ankit; Runde, Simon; Heuer, Hendrik; Jungherr, Andreas; Schoening, Johannes",,,,,,,,The Role of Flag Emoji in Online Political Communication,,,,,,,,SOCIAL SCIENCE COMPUTER REVIEW,,,,,,,,,,8.94439E+14,10.1177/0894439320909085,,,,2020,,,,,,,,,,0,,,,,,,WOS:000527135100001,
J,"Stern, Chadly; Crawford, Jarret T.",,,,,,,,Ideological Conflict and Prejudice: An Adversarial Collaboration Examining Correlates and Ideological (A)Symmetries,,,,,,,,SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,,,,,,,,,,1.94855E+15,10.1177/1948550620904275,,,,2020,,,,,,,,,,1,,,,,,,WOS:000523529800001,
J,"Ramos, Roberto; Sanz, Carlos",,,,,,,,Backing the Incumbent in Difficult Times: The Electoral Impact of Wildfires,,,,,,,,COMPARATIVE POLITICAL STUDIES,,,,53,4-Mar,,,469,499,,10.1177/0010414019858959,,,Mar-20,2020,,,,,,,,,,0,,,,,,,WOS:000507134900004,
J,"Marinthe, Gaelle; Falomir-Pichastor, Juan Manuel; Teste, Benoit; Kamiejski, Rodolphe",,,,,,,,Flags on fire: Consequences of a national symbol's desecration for intergroup relations,,,,,,,,GROUP PROCESSES & INTERGROUP RELATIONS,,,,23,5,,,744,760,UNSP 1368430219853352,10.1177/1368430219853352,,,Aug-20,2020,,,,,,,,,,0,,,,,,,WOS:000481148800001,
J,"Ishio, Yoshito; Dougherty, Kevin D.; Niki, Izumi",,,,,,,,American Flags in Religious Congregations in the United States,,,,,,,,JOURNAL OF CHURCH AND STATE,,,,61,3,,,431,450,,10.1093/jcs/csy080,,,SUM 2019,2019,,,,,,,,,,0,,,,,,,WOS:000492873700004,
J,"Chan, Eugene Y.",,,,,,,,The politics of intent: Political ideology influences organ donation intentions,,,,,,,,PERSONALITY AND INDIVIDUAL DIFFERENCES,,,,142,,,,255,259,,10.1016/j.paid.2018.12.022,,,MAY 1 2019,2019,,,,,,,,,,0,,,,,,,WOS:000463125300038,
J,"Chan, Eugene Y.",,,,,,,,"Exposure to national flags reduces tax evasion: Evidence from the United States, Australia, and Britain",,,,,,,,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,,,,49,2,,,300,312,,10.1002/ejsp.2388,,,Mar-19,2019,,,,,,,,,,1,,,,,,,WOS:000459636500006,
J,"Kardos, Peter; Unoka, Zsolt; Pleh, Csaba; Soltesz, Peter",,,,,,,,Your mobile phone indeed means your social network: Priming mobile phone activates relationship related concepts,,,,,,,,COMPUTERS IN HUMAN BEHAVIOR,,,,88,,,,84,88,,10.1016/j.chb.2018.06.027,,,Nov-18,2018,,,,,,,,,,7,,,,,,,WOS:000443665400010,
J,"Cheng, Yongtian; Li, Johnson Ching-Hong; Liu, Xiyao",,,,,,,,Limited Usefulness of Capture Procedure and Capture Percentage for Evaluating Reproducibility in Psychological Science,,,,,,,,FRONTIERS IN PSYCHOLOGY,,,,9,,,,,,1657,10.3389/fpsyg.2018.01657,,,SEP 11 2018,2018,,,,,,,,,,2,,,,,,,WOS:000444352400001,
