UT,PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,PM
WOS:000553227600001,J,"Fabrigar, Leandre R.; Wegener, Duane T.; Petty, Richard E.",NA,NA,NA,NA,NA,NA,NA,A Validity-Based Framework for Understanding Replication in Psychology,NA,NA,NA,NA,NA,NA,NA,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09E+15,10.1177/1088868320931366,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000547044100001,J,"Beausoleil, Emily",NA,NA,NA,NA,NA,NA,NA,The recognizing body: physiological dimensions of a democratic norm,NA,NA,NA,NA,NA,NA,NA,POLITICS GROUPS AND IDENTITIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1080/21565503.2020.1789883,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000543795500003,J,"Shen, Hao; Labroo, Aparna; Wyer, Robert S., Jr.",NA,NA,NA,NA,NA,NA,NA,So Difficult to Smile: Why Unhappy People Avoid Enjoyable Activities,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,NA,NA,NA,119,1,NA,NA,23,39,NA,10.1037/pspa0000186,NA,NA,20-Jul,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000541165700017,J,"Khenfer, Jamel; Cuny, Caroline",NA,NA,NA,NA,NA,NA,NA,Brand preference in the face of control loss and service failure: The role of the sound of brands,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF RETAILING AND CONSUMER SERVICES,NA,NA,NA,55,NA,NA,NA,NA,NA,UNSP 102132,10.1016/j.jretconser.2020.102132,NA,NA,20-Jul,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000542992900001,J,"Lindblom, Jessica",NA,NA,NA,NA,NA,NA,NA,A Radical Reassessment of the Body in Social Cognition,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,11,NA,NA,NA,NA,NA,987,10.3389/fpsyg.2020.00987,NA,NA,JUN 5 2020,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000538363800023,J,"Au, K. B.; Lo, L. Y.",NA,NA,NA,NA,NA,NA,NA,March for unity: A study on an effect of synchronized actions to perceived closeness,NA,NA,NA,NA,NA,NA,NA,CURRENT PSYCHOLOGY,NA,NA,NA,39,3,NA,NA,1012,1019,NA,10.1007/s12144-018-9820-z,NA,NA,20-Jun,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000531531100001,J,"Waller, B. M.; Julle-Daniere, E.; Micheletta, J.",NA,NA,NA,NA,NA,NA,NA,Measuring the evolution of facial 'expression' using multi-species FACS,NA,NA,NA,NA,NA,NA,NA,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NA,NA,NA,113,NA,NA,NA,1,11,NA,10.1016/j.neubiorev.2020.02.031,NA,NA,20-Jun,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000524457100004,J,"Jimenez-Ortega, Laura; Badaya, Esperanza; Hernandez-Gutierrez, David; Silvera, Marta; Espuny, Javier; Sanchez Garcia, Jose; Fondevila, Sabela; Munoz Munoz, Francisco; Casado, Pilar; Martin-Loeches, Manuel",NA,NA,NA,NA,NA,NA,NA,Effects of reader's facial expression on syntactic processing: A brain potential study,NA,NA,NA,NA,NA,NA,NA,BRAIN RESEARCH,NA,NA,NA,1736,NA,NA,NA,NA,NA,146745,10.1016/j.brainres.2020.146745,NA,NA,JUN 1 2020,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000527757100001,J,"Labbe, Carolina; Trost, Wiebke; Grandjean, Didier",NA,NA,NA,NA,NA,NA,NA,"Affective experiences to chords are modulated by mode, meter, tempo, and subjective entrainment",NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGY OF MUSIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06E+14,10.1177/0305735620906887,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000518235800005,J,"Liu, Xiao-Yu; Liu, Yongmei",NA,NA,NA,NA,NA,NA,NA,The service smile chain: linking leader emotions to customer outcomes,NA,NA,NA,NA,NA,NA,NA,SERVICE INDUSTRIES JOURNAL,NA,NA,NA,40,5,NA,NA,415,435,NA,10.1080/02642069.2018.1509958,NA,NA,APR 3 2020,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
