uniqueID,citingArticleId,firstCoder,secondCoder,doi,authors,pubYear,excluded,exclusionReason,articleType,citesReplication,citationClassificationOriginal,citationClassificationAgreed,counterArguments
814,1,DS,TH,10.1007/s00426-014-0558-4,"Sellaro, Roberta; Hommel, Bernhard; Manai, Meriem; Colzato, Lorenza S.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
710,2,DS,TH,10.4018/IJABE.2015100103,"Bolton, Patrick; Thornthwaite, Louise",2015,TRUE,No access,NA,NA,NA,NA,NA
799,3,DS,TH,10.1523/JNEUROSCI.4567-14.2015,"Bernardi, Giulio; Siclari, Francesca; Yu, Xiaoqian; Zennig, Corinna; Bellesi, Michele; Ricciardi, Emiliano; Cirelli, Chiara; Ghilardi, Maria Felice; Pietrini, Pietro; Tononi, Giulio",2015,FALSE,NA,Empirical data - laboratory study,FALSE,equivocal,equivocal,NA
788,4,DS,TH,10.1002/bdm.1830,"Pang, Bo; Otto, A. Ross; Worthy, Darrell A.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
850,5,DS,TH,10.1016/j.beproc.2014.09.030,"Miller, Holly C.; Pattison, Kristina F.; Laude, Jennifer R.; Zentall, Thomas R.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
854,6,DS,TH,10.1037/a0038082,"Trougakos, John P.; Beal, Daniel J.; Cheng, Bonnie Hayden; Hideg, Ivona; Zweig, David",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
839,7,DS,TH,10.1108/S1479-355520150000013003,"Dixon, Aurora J.; Chang, Chu-Hsiang (Daisy); Johnson, Russell E.",2015,TRUE,No access,NA,NA,NA,NA,NA
759,8,DS,TH,10.1016/j.jvb.2015.03.005,"Rivkin, W.; Diestel, S.; Schmidt, K. -H.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,equivocal,NA
679,9,DS,TH,10.1037/gdn0000033,"Bradley, Bret H.; Anderson, Heather J.; Baur, John E.; Klotz, Anthony C.",2015,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA
827,10,DS,TH,10.1080/01973533.2014.996225,"Osgood, Jeffrey M.; Muraven, Mark",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,equivocal,NA
848,11,DS,TH,10.1093/scan/nsu027,"Parvaz, Muhammad A.; Moeller, Scott J.; Goldstein, Rita Z.; Proudfit, Greg H.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
721,12,DS,TH,10.1037/apl0000018,"Lin, Szu-Han (Joanna); Johnson, Russell E.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
852,13,DS,TH,10.1002/job.1953,"Park, Youngah; Sprung, Justin M.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
687,14,DS,TH,10.1037/npe0000047,"Alos-Ferrer, Carlos; Huegelschaefer, Sabine; Li, Jiahui",2015,TRUE,No access,NA,NA,NA,NA,NA
751,15,DS,TH,10.1016/j.leaqua.2015.02.005,"Collins, Michael D.; Jackson, Chris J.",2015,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
