UT,citingArticleId,firstCoder,secondCoder,doi,authors,pubYear,excluded,exclusionReason,articleType,citesReplication,citationClassificationOriginal,citationClassificationAgreed,counterArguments
WOS:000463125300038,1,RT,SC,10.1016/j.paid.2018.12.022,"Chan, Eugene Y.",2019,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA
WOS:000459636500006,2,RT,SC,10.1002/ejsp.2388,"Chan, Eugene Y.",2019,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
WOS:000443665400010,3,RT,SC,10.1016/j.chb.2018.06.027,"Kardos, Peter; Unoka, Zsolt; Pleh, Csaba; Soltesz, Peter",2018,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
WOS:000444352400001,4,RT,SC,10.3389/fpsyg.2018.01657,"Cheng, Yongtian; Li, Johnson Ching-Hong; Liu, Xiyao",2018,FALSE,NA,No empirical data,TRUE,unclassifiable,unclassifiable,TRUE
WOS:000443935700023,5,RT,SC,10.1111/cdev.12845,"DeJesus, Jasmine M.; Hwang, Hyesung G.; Dautel, Jocelyn B.; Kinzler, Katherine D.",2018,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
WOS:000429950000007,6,RT,SC,10.1177/0098628318762900,"Chopik, William J.; Bremner, Ryan H.; Defever, Andrew M.; Keller, Victor N.",2018,FALSE,NA,Empirical data - field study,TRUE,unclassifiable,unclassifiable,FALSE
WOS:000458911500010,7,RT,SC,NA,"Pedrini, Pier Paolo",2018,TRUE,No access,NA,NA,NA,NA,NA
WOS:000416841700011,8,RT,SC,10.1111/bjso.12197,"Chan, Eugene Y.",2017,FALSE,NA,Empirical data - survey,TRUE,equivocal,equivocal,FALSE
WOS:000409241700002,9,RT,SC,10.1002/ejsp.2239,"Gueguen, Nicolas; Martin, Angelique; Stefan, Jordy",2017,FALSE,NA,Empirical data - field study,FALSE,favourable,favourable,NA
WOS:000406614300012,10,RT,SC,10.1037/xge0000307,"Shanks, David R.",2017,FALSE,NA,Empirical data - commentary including analysis,TRUE,unfavourable,unfavourable,FALSE
WOS:000406245700001,11,RT,SC,10.1111/jcc4.12191,"Rains, Stephen A.; Kenski, Kate; Coe, Kevin; Harwood, Jake",2017,FALSE,NA,Empirical data - field study,FALSE,favourable,favourable,NA
WOS:000403209100003,12,RT,SC,10.1002/mar.21016,"Wang, Lili; Zuo, Peng",2017,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA
WOS:000400362700015,13,RT,SC,10.1111/tops.12265,"Gobet, Fernand",2017,FALSE,NA,No empirical data,TRUE,unfavourable,unfavourable,FALSE
WOS:000392641200001,14,RT,SC,10.3389/fpsyg.2017.00073,"Franek, Marek; Rezny, Lukas",2017,FALSE,NA,Empirical data - field study,FALSE,favourable,favourable,NA
WOS:000414219100020,15,RT,SC,NA,"Cumming, G; CalinJageman, R",2017,TRUE,No access,NA,NA,NA,NA,NA
WOS:000403008000004,16,RT,SC,10.1080/1461670X.2015.1088398,"Young, Sally",2017,FALSE,NA,Empirical data - field study,FALSE,favourable,favourable,NA
WOS:000390915800002,17,RT,SC,10.1016/j.copsyc.2016.04.010,"Ottati, Victor; Wilson, Chase; Lambert, Alan",2016,FALSE,NA,No empirical data,TRUE,favourable,favourable,FALSE
WOS:000390737000007,18,RT,SC,10.1016/j.shpsa.2016.10.002,"Romero, Felipe",2016,FALSE,NA,No empirical data,TRUE,unfavourable,unfavourable,FALSE
WOS:000387770400008,19,RT,SC,10.1111/pops.12305,"Kalmoe, Nathan P.; Gross, Kimberly",2016,FALSE,NA,Empirical data - multiple study types are reported,TRUE,favourable,favourable,FALSE
WOS:000388095600001,20,RT,SC,10.1057/cep.2014.54,"Patrikios, Stratos; Cram, Laura",2016,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
WOS:000386850100002,21,RT,SC,10.1177/0146167216664058,"Stern, Chadly; West, Tessa V.",2016,FALSE,NA,Empirical data - survey,FALSE,unclassifiable,unclassifiable,NA
WOS:000381166900014,22,RT,SC,10.1016/j.jesp.2015.09.017,"Stroebe, Wolfgang",2016,FALSE,NA,No empirical data,TRUE,favourable,favourable,TRUE
WOS:000388311800009,23,RT,SC,10.1002/ejsp.2188,"Chan, Eugene Y.",2016,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA
WOS:000376546100011,24,RT,SC,10.1016/j.electstud.2016.01.010,"Moehler, Devra; Conroy-Krutz, Jeffrey",2016,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
WOS:000372899200001,25,RT,SC,10.1111/pops.12235,"Lerman, Amy E.; Sadin, Meredith L.",2016,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA
WOS:000372522800008,26,RT,SC,10.1177/0956797615624029,"Kleiman, Tali; Stern, Chadly; Trope, Yaacov",2016,FALSE,NA,Empirical data - survey,FALSE,unclassifiable,unclassifiable,NA
WOS:000391262500002,27,RT,SC,10.1027/2151-2604/a000250,"Kuehberger, Anton; Scherndl, Thomas; Ludwig, Bastian; Simon, Dominique M.",2016,TRUE,No access,NA,NA,NA,NA,NA
WOS:000367313700018,28,RT,SC,10.1111/puar.12441,"Hvidman, Ulrik; Andersen, Simon Calmar",2016,TRUE,Cited in references but not in text,NA,NA,NA,NA,NA
WOS:000440536500014,29,RT,SC,NA,"Gass, Robert H.; Seiter, John S.",2016,TRUE,No access,NA,NA,NA,NA,NA
WOS:000367276800030,30,RT,SC,10.1016/j.electstud.2015.10.008,"Fatke, Matthias",2015,FALSE,NA,Empirical data - field study,FALSE,favourable,favourable,NA
WOS:000354903100007,31,RT,SC,10.1007/s12136-014-0239-3,"Meyers, C. D.",2015,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA
WOS:000355339000003,32,RT,SC,10.3389/fpsyg.2015.00584,"Hesselmann, Guido; Moors, Pieter",2015,FALSE,NA,No empirical data,TRUE,equivocal,equivocal,TRUE
WOS:000349622000008,33,RT,SC,10.1177/0956797614559730,"Brandt, Mark J.; Evans, Anthony M.; Crawford, Jarret T.",2015,FALSE,NA,Empirical data - survey,TRUE,unclassifiable,unclassifiable,FALSE
WOS:000417005200001,34,RT,SC,10.1007/978-1-4939-1899-7_1,"Miller, Monica K.; Chamberlain, Jared",2015,TRUE,No access,NA,NA,NA,NA,NA
WOS:000323570200070,35,RT,SC,10.1371/journal.pone.0072467,"Harris, Christine R.; Coburn, Noriko; Rohrer, Doug; Pashler, Harold",2013,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
WOS:000319852600020,36,RT,SC,10.1016/j.jesp.2013.03.007,"Zhu, Luke (Lei); Kay, Aaron C.; Eibach, Richard P.",2013,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA
WOS:000317166800017,37,RT,SC,10.1016/j.neuroimage.2013.01.020,"Tusche, Anita; Kahnt, Thorsten; Wisniewski, David; Haynes, John-Dylan",2013,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
WOS:000314690900002,38,RT,SC,10.1017/S0140525X11002202,"Atran, S. (2013)",2013,FALSE,NA,No empirical data,FALSE,unclassifiable,unclassifiable,NA
WOS:000313914600020,39,RT,SC,10.1111/jasp.12069,"Devos, Thierry; Ma, Debbie S.",2013,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA
WOS:000311176400019,40,RT,SC,10.1016/j.jesp.2012.08.011,"Bilali, Rezarta; Vollhardt, Johanna Ray",2013,FALSE,NA,Empirical data - field study,FALSE,favourable,favourable,NA
WOS:000308206000008,41,RT,SC,10.1371/journal.pone.0042510,"Pashler, Harold; Coburn, Noriko; Harris, Christine R.",2012,FALSE,NA,Empirical data - laboratory study,FALSE,unfavourable,unfavourable,NA
