uniqueID,citingArticleId,firstCoder,secondCoder,doi,authors,pubYear,excluded,exclusionReason,articleType,citesReplication,citationClassificationOriginal,citationClassificationAgreed,counterArguments
1,1,MN,TH,10.1080/01973533.2019.1577736,"Stroebe, Wolfgang",2019,FALSE,NA,No empirical data,TRUE,favourable,favourable,TRUE
2,2,MN,TH,10.1111/mila.12203,"Shapiro, Lawrence A.",2019,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA
3,3,MN,TH,10.1080/00224545.2018.1454881,"Koerner, Anita; Strack, Fritz",2019,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
4,4,MN,TH,NA,"Milkowski, Marcin",2019,TRUE,No access,NA,NA,NA,NA,NA
5,5,MN,TH,10.1097/DSS.0000000000001613,"Dayan, Steven H.; Bacos, Jonathan T.; Gandhi, Nimit D.; Ho, Thuy-Van T.; Kalbag, Arjun",2019,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
6,6,MN,TH,10.1080/02699931.2019.1567464,"Wentura, Dirk",2019,FALSE,NA,No empirical data,TRUE,favourable,favourable,TRUE
7,7,MN,TH,NA,"Krosnick, Jon A.; Judd, Charles M.; Wittenbrink, Bernd",2019,TRUE,No access,NA,NA,NA,NA,NA
8,8,MN,TH,NA,"Clore, Gerald L.; Schnall, Simone",2019,TRUE,No access,NA,NA,NA,NA,NA
9,9,MN,TH,NA,"Wegener, Duane T.; Clark, Jason K.; Petty, Richard E.",2019,TRUE,No access,NA,NA,NA,NA,NA
10,10,MN,TH,NA,"Wyer, Robert S., Jr.",2019,TRUE,No access,NA,NA,NA,NA,NA
11,11,RT,TH,NA,"Schwarz, Norbert; Lee, Spike W. S.",2019,FALSE,NA,No empirical data,TRUE,favourable,favourable,TRUE
12,12,RT,TH,10.1016/j.actpsy.2018.11.001,"Lemonnier, Aurore; Alexopoulos, Theodore",2019,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,FALSE
13,13,RT,TH,10.3389/fpsyg.2018.02393,"Malkowski, Marcin; Clowes, Robert; Rucinska, Zuzanna; Przegalinska, Aleksandra; Zawidzki, Tadeusz; Krueger, Joel; Gies, Adam; McGann, Marek; Afeltowicz, Lukasz; Wachowski, Witold; Stjernberg, Fredrik; Loughlin, Victor; Hohol, Mateusz",2018,FALSE,NA,No empirical data,TRUE,favourable,favourable,FALSE
14,14,RT,TH,10.1016/j.acclit.2018.03.006,"Olsen, Carmen; Gold, Anna",2018,TRUE,Cited in references but not in text,No empirical data,NA,NA,NA,NA
15,15,RT,TH,10.1016/j.biopsycho.2018.10.012,"Smith, Ryan; Killgore, William D. S.; Alkozei, Anna; Lane, Richard D.",2018,FALSE,NA,No empirical data,FALSE,equivocal,unclassifiable,NA
16,16,RT,TH,10.1177/1368431017736995,"Ringmar, Erik",2018,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA
17,17,RT,TH,10.3389/fpsyg.2018.02089,"Rosseland, Ragna; Pallesen, Stale; Nordhus, Inger Hilde; Matre, Dagfinn; Blagestad, Tone",2018,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,FALSE
18,18,RT,TH,10.1038/s41598-018-33119-1,"Lewis, Michael B.",2018,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,TRUE
19,19,RT,TH,10.1093/jcr/ucy013,"Van Kerckhove, Anneleen; Pandelaere, Mario",2018,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
20,20,RT,TH,10.3758/s13423-017-1361-1,"Sidhu, David M.; Pexman, Penny M.",2018,FALSE,NA,No empirical data,TRUE,favourable,favourable,FALSE
21,21,SC,TH,10.1177/0016986218784178,"McBee, Matthew T.; Makel, Matthew C.; Peters, Scott J.; Matthews, Michael S.",2018,FALSE,NA,No empirical data,TRUE,unfavourable,unfavourable,FALSE
22,22,SC,TH,10.1111/etho.12207,"Seligman, Rebecca",2018,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA
23,23,SC,TH,10.1177/0956797618765477,"de la Rosa, Stephan; Fademrecht, Laura; Buelthoff, Heinrich H.; Giese, Martin A.; Curio, Cristobal",2018,FALSE,NA,Empirical data - laboratory study,FALSE,equivocal,equivocal,NA
24,24,SC,TH,10.1371/journal.pone.0197651,"Niedenthal, Paula M.; Rychlowska, Magdalena; Wood, Adrienne; Zhao, Fangyun",2018,FALSE,NA,Empirical data - survey,TRUE,favourable,favourable,FALSE
25,25,SC,TH,10.1016/j.tate.2018.05.008,"Taxer, Jamie L.; Gross, James J.",2018,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA
26,26,SC,TH,10.3389/fnins.2018.00463,"Luo, Siyang; Zhang, Xiao",2018,FALSE,NA,Empirical data - laboratory study,FALSE,unfavourable,unfavourable,NA
27,27,SC,TH,10.1016/j.neuropsychologia.2017.08.018,"Hsu, Chun-Ting; Sims, Thomas; Chakrabarti, Bhismadev",2018,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,unclassifiable,NA
28,28,SC,TH,10.3389/fpsyg.2018.00998,"Hauser, David J.; Ellsworth, Phoebe C.; Gonzalez, Richard",2018,FALSE,NA,No empirical data,TRUE,equivocal,equivocal,TRUE
29,29,SC,TH,10.1002/ijop.12371,"Wang, Jingjing; Li, Weijian; Li, Xinyu; Li, Ping; Zhang, Yuchi; Jia, Xiaoyu; Chen, Yue; Vanhoy, Mickie; Sun, Binghai",2018,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
30,30,SC,TH,10.1016/j.jesp.2017.12.005,"Nayakankuppam, Dhananjay; Priester, Joseph R.; Kwon, Jae Hwan; Donovan, Leigh Anne Novak; Petty, Richard E.",2018,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
31,31,MN,SC,10.3389/fnhum.2018.00174,"Osypiuk, Kamila; Thompson, Evan; Wayne, Peter M.",2018,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA
32,32,MN,SC,10.1037/pspa0000121,"Noah, Tom; Schul, Yaacov; Mayo, Ruth",2018,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,TRUE
33,33,MN,SC,10.1026/1612-5010/a000220,"Fritsch, Julian; Elbe, Anne-Marie; Hatzigeorgiadis, Antonis",2018,TRUE,No access,No empirical data,NA,NA,NA,NA
34,34,SC,MN,10.1007/s10919-017-0264-1,"Soderkvist, Sven; Ohlen, Kajsa; Dimberg, Ulf",2018,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,TRUE
35,35,SC,MN,10.1037/fam0000345,"Vrijhof, Claudia I.; van der Voort, Anja; van IJzendoorn, Marinus H.; Euser, Saskia",2018,FALSE,NA,Empirical data - field study,TRUE,unclassifiable,unclassifiable,FALSE
36,36,SC,MN,10.1093/scan/nsy005,"Jospe, Karine; Floeel, Agnes; Lavidor, Michal",2018,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA
37,37,SC,MN,10.1007/s10936-017-9522-y,"Tillman, Richard; Louwerse, Max",2018,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,TRUE
38,38,SC,MN,10.1080/17470218.2016.1261913,"Berndt, Eduard; Dudschig, Carolin; Kaup, Barbara",2018,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,FALSE
39,39,SC,MN,10.1007/s11097-017-9508-0,"Fridland, Ellen; Wiers, Corinde E.",2018,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA
40,40,SC,MN,10.1016/j.copsyc.2017.04.015,"Huesmann, L. Rowell",2018,FALSE,NA,No empirical data,FALSE,favourable,favourable,NA
