pubYear,totalCitations,meanCitations
1988,72,0.371134021
1989,442,2.278350515
1990,680,3.505154639
1991,795,4.097938144
1992,870,4.484536082
1993,932,4.804123711
1994,972,5.010309278
1995,1093,5.634020619
1996,1178,6.072164948
1997,1190,6.134020619
1998,1190,6.134020619
1999,1158,5.969072165
2000,1225,6.31443299
2001,1104,5.690721649
2002,1199,6.180412371
2003,1208,6.226804124
2004,1140,5.87628866
2005,1367,7.046391753
2006,1554,8.010309278
2007,1739,8.963917526
2008,1802,9.288659794
2009,2117,10.91237113
2010,2161,11.13917526
2011,2304,11.87628866
2012,2360,12.16494845
2013,2596,13.3814433
2014,2646,13.63917526
2015,2772,14.28865979
2016,2879,14.84020619
2017,2892,14.90721649
2018,2871,14.79896907
2019,838,4.319587629
