UT,DI,AU,PY
WOS:000501891500001,10.1038/s41598-019-55029-6,"Fernandes, Alexandre C.; Garcia-Marques, Teresa",2019
WOS:000506723100022,10.1016/j.plrev.2019.10.008,"Schoeller, F.; Haar, A. J. H.; Jain, A.; Maes, P.",2019
WOS:000500013700016,10.1037/emo0000532,"Marsh, Abigail A.; Rhoads, Shawn A.; Ryan, Rebecca M.",2019
WOS:000496165000010,10.1111/zygo.12553,"Beharrell, William H.",2019
WOS:000494437800010,10.1177/1747021819867856,"Virhia, Jasmine; Kotz, Sonja A.; Adank, Patti",2019
WOS:000535786900001,10.3389/fpsyg.2019.02458,"Derya, Dilara; Kang, June; Kwon, Young; Wallraven, Christian",2019
WOS:000504782100007,10.1016/j.destud.2019.10.007,"Heylighen, Ann; Dong, Andy",2019
WOS:000494295100011,10.1037/neu0000580,"Osborne-Crowley, Katherine; Wilson, Emily; De Blasio, Frances; Wearne, Travis; Rushby, Jacqueline; McDonald, Skye",2019
WOS:000489746800003,10.1162/jocn_a_01445,"Kuehne, Maria; Siwy, Isabelle; Zaehle, Tino; Heinze, Hans-Jochen; Lobmaier, Janek S.",2019
WOS:000497542400001,10.3389/fpsyg.2019.02439,"Huggins, Charlotte F.; Cameron, Isobel M.; Williams, Justin H. G.",2019
WOS:000492642700003,10.1007/s11229-019-02347-x,"Doulatova, Maria",2019
WOS:000492578500002,10.3758/s13423-019-01674-x,"Iani, Francesco",2019
WOS:000497505100001,10.3389/fpsyg.2019.02297,"Cross, Marie P.; Gheorma, Liana; Pressman, Sarah D.",2019
WOS:000488839300007,10.1037/met0000216,"Rouder, Jeffrey N.; Haaf, Julia M.; Davis-Stober, Clintin P.; Hilgard, Joseph",2019
WOS:000487911000003,10.1177/1754073919868762,"Coles, Nicholas A.; Larsen, Jeff T.; Kuribayashi, Joyce; Kuelz, Ashley",2019
WOS:000480517100014,10.1038/s41598-019-48275-1,"Bulnes, L. C.; Marien, P.; Vandekerckhove, M.; Cleeremans, A.",2019
WOS:000473589800001,10.3389/fpsyg.2019.01389,"Melzer, Ayelet; Shafir, Tal; Tsachor, Rochelle Palnick",2019
WOS:000497712900005,NA,"Isern-Mas, Carme; Gomila, Antoni",2019
WOS:000478740700002,10.1111/jaac.12659,"Sizer, Laura",2019
WOS:000473508600004,10.1177/0031512519834389,"Marmeleira, Jose; Santos, Graca Duarte",2019
WOS:000468755500011,10.1037/emo0000476,"Palagi, Elisabetta; Norscia, Ivan; Pressi, Serena; Cordoni, Giada",2019
WOS:000468382400003,10.1037/bul0000194,"Coles, Nicholas A.; Larsen, Jeff T.; Lench, Heather C.",2019
WOS:000468290800008,10.1177/1745691618808523,"Wrobel, Monika; Imbir, Kamil K.",2019
WOS:000465125200002,10.1080/02699931.2018.1456406,"Rummer, Ralf; Schweppe, Judith",2019
WOS:000465428400006,10.1111/mila.12215,"Arango-Munoz, Santiago",2019
WOS:000469342200006,10.1037/gpr0000156,"Sedikides, Constantine; Lenton, Alison P.; Slabu, Letitia; Thomaes, Sander",2019
WOS:000509553400007,NA,"Wyer, Robert S., Jr.",2019
WOS:000509553400027,NA,"Fabrigar, Leandre R.; Wegener, Duane T.; Vaughan-Johnston, Thomas I.; Wallace, Laura E.; Petty, Richard E.",2019
WOS:000487849400008,NA,"Nikopoulos, James",2019
WOS:000551983200003,10.1080/17521882.2017.1351460,"Attan, Anthony; Whitelaw, Ginny; Ferguson, Emily",2018
WOS:000467370600003,NA,"Jacobs, Naomi; Cooper, Rachel",2018
WOS:000524491500030,NA,"Huesmann, L. Rowell",2018
WOS:000553513800026,10.1007/978-3-319-91716-0_26,"Kindermann, Harald; Auinger, Franz",2018
WOS:000399511000044,10.1016/j.chb.2017.02.019,"Pena, Jorge; Chen, Meng",2017
WOS:000449485000014,NA,"Ravenscroft, Ian",2017
WOS:000467322900010,NA,"Whitaker, Elizabeth D.",2017
WOS:000376609300017,NA,"Goldstein, Thalia R.",2015
